GID_OBJET,TYPE_ANOMALIE,DATE_DETECTION_parsed,annee_Anomalie,DATE_REPARATION,DATE_REPARATION_parsed,OBJET_DEPOSE_OU_ABANDONNE
410030412,FUITE_DETECT_TR,2017-08-02T00:00:00.000Z,2017,02/08/17,2017-08-02T00:00:00.000Z,0
410009095,FUITE_SIGNAL_TR,1995-08-11T00:00:00.000Z,1995,11/08/95,1995-08-11T00:00:00.000Z,0
410012297,FUITE_SIGNAL_TR,1995-08-01T00:00:00.000Z,1995,09/08/95,1995-08-09T00:00:00.000Z,0
410937209,FUITE_SIGNAL_TR,1995-04-27T00:00:00.000Z,1995,28/04/95,1995-04-28T00:00:00.000Z,0
410023581,FUITE_SIGNAL_TR,1995-08-11T00:00:00.000Z,1995,23/08/95,1995-08-23T00:00:00.000Z,0
410505913,FUITE_SIGNAL_TR,1995-07-12T00:00:00.000Z,1995,13/07/95,1995-07-13T00:00:00.000Z,-1
410000806,FUITE_SIGNAL_TR,1995-08-29T00:00:00.000Z,1995,28/08/95,1995-08-28T00:00:00.000Z,0
410016568,FUITE_SIGNAL_TR,1995-08-08T00:00:00.000Z,1995,10/08/95,1995-08-10T00:00:00.000Z,-1
410024693,FUITE_SIGNAL_TR,1995-02-22T00:00:00.000Z,1995,23/02/95,1995-02-23T00:00:00.000Z,0
410025183,FUITE_SIGNAL_TR,1995-02-18T00:00:00.000Z,1995,20/02/95,1995-02-20T00:00:00.000Z,-1
410024605,FUITE_SIGNAL_TR,1995-01-12T00:00:00.000Z,1995,12/01/95,1995-01-12T00:00:00.000Z,0
410061881,FUITE_SIGNAL_TR,1995-01-30T00:00:00.000Z,1995,30/01/95,1995-01-30T00:00:00.000Z,0
410015300,FUITE_SIGNAL_TR,1995-01-04T00:00:00.000Z,1995,04/01/95,1995-01-04T00:00:00.000Z,-1
410024450,FUITE_SIGNAL_TR,1994-11-14T00:00:00.000Z,1994,14/11/94,1994-11-14T00:00:00.000Z,-1
410024546,FUITE_SIGNAL_TR,1994-11-04T00:00:00.000Z,1994,03/11/94,1994-11-03T00:00:00.000Z,-1
410006182,FUITE_SIGNAL_TR,1995-07-18T00:00:00.000Z,1995,18/07/95,1995-07-18T00:00:00.000Z,-1
410003307,FUITE_SIGNAL_TR,1995-07-19T00:00:00.000Z,1995,10/07/95,1995-07-10T00:00:00.000Z,-1
