id_troncon,nb_abonne,nb_abonne_sensible,nb_abonne_tres_sensible
SYN000000,27,0,0
SYN000001,23,0,0
SYN000002,19,0,0
SYN000003,29,0,0
SYN000004,1,0,0
SYN000005,26,0,0
SYN000006,19,0,0
SYN000007,29,0,0
SYN000008,0,0,0
SYN000009,22,0,0
SYN000010,25,0,0
SYN000011,18,0,0
SYN000012,38,0,0
SYN000013,26,0,0
SYN000014,29,0,0
SYN000015,37,0,0
SYN000016,0,0,0
SYN000017,2,0,0
SYN000018,22,0,0
SYN000019,28,0,0
SYN000020,27,0,0
SYN000021,28,0,0
SYN000022,16,0,0
SYN000023,37,0,0
SYN000024,28,0,0
SYN000025,0,0,0
SYN000026,25,0,0
SYN000027,23,0,0
SYN000028,1,0,0
SYN000029,22,0,0
SYN000030,34,0,0
SYN000031,24,0,0
SYN000032,20,0,0
SYN000033,24,0,0
SYN000034,3,0,0
SYN000035,30,0,0
SYN000036,20,0,0
SYN000037,3,0,0
SYN000038,20,0,0
SYN000039,30,0,0
SYN000040,19,0,0
SYN000041,22,0,0
SYN000042,4,0,0
SYN000043,27,0,0
SYN000044,20,0,0
SYN000045,32,0,0
SYN000046,3,0,0
SYN000047,21,0,0
SYN000048,20,0,0
SYN000049,24,0,0
SYN000050,3,0,0
SYN000051,1,0,0
SYN000052,0,0,0
SYN000053,0,0,0
SYN000054,1,0,0
SYN000055,28,0,0
SYN000056,39,0,0
SYN000057,19,0,0
SYN000058,27,0,0
SYN000059,26,0,0
SYN000060,18,0,0
SYN000061,25,0,0
SYN000062,1,0,0
SYN000063,25,0,0
SYN000064,28,0,0
SYN000065,30,0,0
SYN000066,3,0,0
SYN000067,1,0,0
SYN000068,32,0,0
SYN000069,27,0,0
SYN000070,2,0,0
SYN000071,36,0,0
SYN000072,27,0,0
SYN000073,19,0,0
SYN000074,23,0,0
SYN000075,34,0,0
SYN000076,22,0,0
SYN000077,0,0,0
SYN000078,3,0,0
SYN000079,19,0,0
SYN000080,19,0,0
SYN000081,0,0,0
SYN000082,30,0,0
SYN000083,29,0,0
SYN000084,26,0,0
SYN000085,34,1,0
SYN000086,21,0,0
SYN000087,24,0,0
SYN000088,20,0,0
SYN000089,24,0,0
SYN000090,33,0,0
SYN000091,37,0,0
SYN000092,21,0,0
SYN000093,25,0,0
SYN000094,25,0,0
SYN000095,24,0,0
SYN000096,20,0,1
SYN000097,28,0,0
SYN000098,28,0,0
SYN000099,28,0,0
SYN000100,23,0,0
SYN000101,26,0,0
SYN000102,26,0,0
SYN000103,23,0,0
SYN000104,24,0,0
SYN000105,2,0,0
SYN000106,19,0,0
SYN000107,27,0,0
SYN000108,22,0,0
SYN000109,27,2,0
SYN000110,2,0,0
SYN000111,3,0,0
SYN000112,35,0,0
SYN000113,31,0,0
SYN000114,31,0,0
SYN000115,2,0,0
SYN000116,23,0,0
SYN000117,24,0,0
SYN000118,29,0,0
SYN000119,25,0,0
SYN000120,20,0,0
SYN000121,22,0,0
SYN000122,5,0,0
SYN000123,21,0,0
SYN000124,25,0,0
SYN000125,27,0,0
SYN000126,23,0,0
SYN000127,22,0,0
SYN000128,20,0,0
SYN000129,23,1,0
SYN000130,26,0,0
SYN000131,22,0,0
SYN000132,19,1,0
SYN000133,17,0,0
SYN000134,28,0,0
SYN000135,0,0,0
SYN000136,17,0,0
SYN000137,0,0,0
SYN000138,20,0,0
SYN000139,32,0,0
SYN000140,1,0,0
SYN000141,21,0,0
SYN000142,16,0,0
SYN000143,26,0,0
SYN000144,21,0,0
SYN000145,27,0,0
