id_troncon,nb_abonne,nb_abonne_sensible,nb_abonne_tres_sensible
BOR00000,0,0,0
BOR00001,1,0,0
BOR00002,2,0,0
BOR00003,13,0,0
BOR00004,19,0,0
BOR00005,16,0,0
BOR00006,15,0,0
BOR00007,20,0,0
BOR00008,0,0,0
BOR00009,19,0,0
BOR00010,0,0,0
BOR00011,0,0,0
BOR00012,20,0,0
BOR00013,0,0,0
BOR00014,26,0,0
BOR00015,24,0,0
BOR00016,26,0,0
BOR00017,19,0,0
BOR00018,0,0,0
BOR00019,20,0,0
BOR00020,0,0,0
BOR00021,0,0,0
BOR00022,20,0,0
BOR00023,16,0,0
BOR00024,23,0,0
BOR00025,0,0,0
BOR00026,24,0,0
BOR00027,25,0,0
BOR00028,27,0,0
BOR00029,23,0,0
BOR00030,12,0,0
BOR00031,22,0,0
BOR00032,15,1,0
BOR00033,18,0,0
BOR00034,3,0,0
BOR00035,0,0,0
BOR00036,22,0,0
BOR00037,15,0,0
BOR00038,22,0,0
BOR00039,24,0,0
BOR00040,18,0,0
BOR00041,1,0,0
BOR00042,1,0,0
BOR00043,13,0,0
BOR00044,26,0,0
BOR00045,17,0,0
BOR00046,16,0,0
BOR00047,19,0,0
BOR00048,13,0,0
BOR00049,13,0,0
BOR00050,19,0,0
BOR00051,2,0,0
BOR00052,1,1,0
BOR00053,1,0,0
BOR00054,14,0,0
BOR00055,19,0,0
BOR00056,23,0,0
BOR00057,14,0,0
BOR00058,0,0,0
BOR00059,21,0,0
BOR00060,19,0,0
BOR00061,24,0,0
BOR00062,25,0,0
BOR00063,21,0,0
BOR00064,18,0,0
BOR00065,18,0,0
BOR00066,15,0,0
BOR00067,19,0,0
BOR00068,20,0,0
BOR00069,24,0,0
BOR00070,18,0,0
BOR00071,1,0,0
BOR00072,2,0,0
BOR00073,32,0,0
BOR00074,24,0,0
BOR00075,20,0,1
BOR00076,33,0,0
BOR00077,2,0,0
BOR00078,22,0,0
BOR00079,28,0,1
BOR00080,25,0,0
BOR00081,23,0,0
BOR00082,22,0,0
BOR00083,13,0,0
BOR00084,1,0,0
BOR00085,12,0,0
BOR00086,23,0,0
BOR00087,19,0,0
BOR00088,24,0,0
BOR00089,21,0,0
BOR00090,0,0,0
BOR00091,28,0,0
BOR00092,26,0,0
BOR00093,23,0,0
BOR00094,21,0,0
BOR00095,17,0,0
BOR00096,3,0,0
BOR00097,18,0,0
BOR00098,21,0,0
BOR00099,2,0,0
BOR00100,21,0,0
BOR00101,16,0,0
BOR00102,18,0,0
BOR00103,12,0,0
BOR00104,23,0,0
BOR00105,24,0,0
BOR00106,18,0,0
BOR00107,0,0,0
BOR00108,3,0,0
BOR00109,19,0,0
BOR00110,18,0,0
BOR00111,17,0,0
BOR00112,2,0,0
BOR00113,2,0,0
BOR00114,16,0,0
BOR00115,18,0,0
BOR00116,24,0,0
BOR00117,22,0,0
BOR00118,28,0,0
BOR00119,15,0,0
BOR00120,17,2,0
BOR00121,19,0,0
BOR00122,24,0,0
BOR00123,23,0,0
BOR00124,18,0,0
BOR00125,25,0,0
BOR00126,0,0,0
BOR00127,22,0,0
BOR00128,29,0,0
BOR00129,0,0,0
BOR00130,2,0,0
BOR00131,17,0,0
BOR00132,25,0,0
BOR00133,2,0,0
BOR00134,21,0,0
BOR00135,30,0,0
BOR00136,20,0,0
