id_troncon,annee,jour,type
BOR01534,2005,6,casse
BOR01288,2005,20,casse
BOR01735,2005,26,casse
BOR01291,2005,43,casse
BOR01710,2005,57,casse
BOR00218,2005,80,casse
BOR00644,2005,92,casse
BOR01618,2005,93,casse
BOR00558,2005,95,casse
BOR01460,2005,99,casse
BOR00676,2005,101,casse
BOR01985,2005,107,casse
BOR00710,2005,115,casse
BOR01488,2005,125,casse
BOR01035,2005,126,casse
BOR01140,2005,126,casse
BOR01354,2005,126,casse
BOR01042,2005,167,casse
BOR01583,2005,170,casse
BOR00783,2005,172,casse
BOR01794,2005,180,casse
BOR01567,2005,183,casse
BOR01479,2005,195,casse
BOR01195,2005,218,casse
BOR01249,2005,227,casse
BOR01239,2005,233,casse
BOR01454,2005,244,casse
BOR00585,2005,249,casse
BOR00276,2005,275,casse
BOR00262,2005,279,casse
BOR00494,2005,292,casse
BOR00770,2005,294,casse
BOR01482,2005,294,casse
BOR01888,2005,305,casse
BOR01531,2005,309,casse
BOR01095,2005,324,casse
BOR00579,2005,328,casse
BOR00270,2005,329,casse
BOR00732,2005,358,casse
BOR01022,2006,4,casse
BOR01918,2006,4,casse
BOR01731,2006,13,casse
BOR01543,2006,21,casse
BOR00390,2006,26,casse
BOR00678,2006,29,casse
BOR00571,2006,35,casse
BOR01571,2006,55,casse
BOR00832,2006,68,casse
BOR01263,2006,87,casse
BOR01705,2006,87,casse
BOR00407,2006,116,casse
BOR01302,2006,117,casse
BOR01574,2006,118,casse
BOR01387,2006,127,casse
BOR01231,2006,137,casse
BOR01207,2006,139,casse
BOR01888,2006,141,casse
BOR00398,2006,151,casse
BOR00366,2006,174,casse
BOR00503,2006,180,casse
BOR01239,2006,199,casse
BOR00727,2006,211,casse
BOR01382,2006,216,casse
BOR01251,2006,228,casse
BOR00754,2006,236,casse
BOR00671,2006,260,casse
BOR01829,2006,269,casse
BOR00558,2006,277,casse
BOR00671,2006,283,casse
BOR00834,2006,297,casse
BOR00801,2006,309,casse
BOR01454,2006,317,casse
BOR00445,2006,320,casse
BOR01841,2006,321,casse
BOR00917,2006,325,casse
BOR01035,2006,327,casse
BOR00392,2006,341,casse
BOR01856,2006,345,casse
BOR01574,2007,37,casse
BOR01977,2007,37,casse
BOR00267,2007,42,casse
BOR00579,2007,54,casse
BOR01645,2007,59,casse
BOR00862,2007,64,casse
BOR01808,2007,64,casse
BOR00300,2007,73,casse
BOR00798,2007,73,casse
BOR00796,2007,92,casse
BOR00398,2007,103,casse
BOR00378,2007,104,casse
BOR00473,2007,111,casse
BOR00379,2007,112,casse
BOR01167,2007,124,casse
BOR00834,2007,125,casse
BOR01588,2007,136,casse
BOR00176,2007,148,casse
BOR01884,2007,152,casse
BOR00672,2007,153,casse
BOR00011,2007,168,casse
BOR01586,2007,181,casse
BOR00679,2007,197,casse
BOR01246,2007,198,casse
BOR00490,2007,199,casse
BOR00446,2007,208,casse
BOR00840,2007,217,casse
BOR00441,2007,228,casse
BOR00955,2007,241,casse
BOR01391,2007,247,casse
BOR01470,2007,260,casse
BOR01403,2007,261,casse
BOR00652,2007,266,casse
BOR01068,2007,278,casse
BOR00956,2007,279,casse
BOR01541,2007,292,casse
BOR00487,2007,298,casse
BOR00930,2007,313,casse
BOR01109,2007,317,casse
BOR01350,2007,327,casse
BOR01396,2007,328,casse
BOR00129,2007,330,casse
BOR01095,2007,333,casse
BOR00565,2007,340,casse
BOR00725,2007,347,casse
BOR01338,2007,347,casse
BOR01195,2007,349,casse
BOR01049,2007,351,casse
BOR01862,2007,351,casse
BOR00291,2007,352,casse
BOR00464,2008,4,casse
BOR00267,2008,18,casse
BOR00369,2008,19,casse
BOR00822,2008,35,casse
BOR00320,2008,37,casse
BOR00739,2008,45,casse
BOR00729,2008,46,casse
BOR00178,2008,50,casse
BOR00671,2008,59,casse
BOR01382,2008,68,casse
BOR00002,2008,69,casse
BOR00126,2008,70,casse
BOR01544,2008,88,casse
BOR01754,2008,100,casse
BOR01848,2008,114,casse
BOR00972,2008,115,casse
BOR01015,2008,132,casse
BOR01993,2008,132,casse
BOR00349,2008,145,casse
BOR00286,2008,154,casse
BOR00594,2008,160,casse
BOR01832,2008,162,casse
BOR01121,2008,166,casse
BOR00491,2008,193,casse
BOR00847,2008,194,casse
BOR01855,2008,203,casse
BOR01536,2008,205,casse
BOR01196,2008,229,casse
BOR00498,2008,242,casse
BOR01200,2008,249,casse
BOR01375,2008,252,casse
BOR01477,2008,254,casse
BOR00842,2008,255,casse
BOR00458,2008,261,casse
BOR01792,2008,282,casse
BOR00286,2008,296,casse
BOR00266,2008,302,casse
BOR00345,2008,302,casse
BOR00267,2008,310,casse
BOR01037,2008,310,casse
BOR00558,2008,313,casse
BOR01982,2008,314,casse
BOR00414,2008,319,casse
BOR00019,2008,320,casse
BOR00468,2008,322,casse
BOR00490,2008,326,casse
BOR01246,2008,327,casse
BOR01195,2008,333,casse
BOR00534,2008,361,casse
BOR00221,2008,362,casse
BOR00939,2008,364,casse
BOR01818,2009,12,casse
BOR01068,2009,21,casse
BOR01009,2009,22,casse
BOR01089,2009,26,casse
BOR01144,2009,29,casse
BOR00717,2009,30,casse
BOR01346,2009,42,casse
BOR01666,2009,48,casse
BOR00226,2009,50,casse
BOR00157,2009,55,casse
BOR01417,2009,74,casse
BOR01683,2009,108,casse
BOR00222,2009,111,casse
BOR00865,2009,115,casse
BOR01353,2009,119,casse
BOR00630,2009,121,casse
BOR01084,2009,122,casse
BOR00593,2009,127,casse
BOR00271,2009,138,casse
BOR01406,2009,139,casse
BOR01249,2009,169,casse
BOR00644,2009,179,casse
BOR00436,2009,200,casse
BOR00297,2009,201,casse
BOR00176,2009,203,casse
BOR01936,2009,206,casse
BOR01173,2009,208,casse
BOR01908,2009,210,casse
BOR01314,2009,216,casse
BOR00298,2009,223,casse
BOR01378,2009,231,casse
BOR00098,2009,237,casse
BOR01380,2009,238,casse
BOR00011,2009,246,casse
BOR00571,2009,261,casse
BOR01168,2009,264,casse
BOR00239,2009,271,casse
BOR01612,2009,275,casse
BOR01851,2009,276,casse
BOR01483,2009,282,casse
BOR01328,2009,285,casse
BOR01985,2009,301,casse
BOR01234,2009,304,casse
BOR01251,2009,305,casse
BOR00895,2009,310,casse
BOR00287,2009,318,casse
BOR01987,2009,326,casse
BOR01086,2009,332,casse
BOR01088,2009,353,casse
BOR00601,2009,357,casse
BOR01239,2009,357,casse
BOR00606,2010,17,casse
BOR00272,2010,18,casse
BOR00739,2010,25,casse
BOR00379,2010,27,casse
BOR01412,2010,29,casse
BOR01794,2010,41,casse
BOR01862,2010,41,casse
BOR01214,2010,43,casse
BOR01564,2010,50,casse
BOR01403,2010,53,casse
BOR00721,2010,58,casse
BOR00226,2010,80,casse
BOR01155,2010,80,casse
BOR00780,2010,103,casse
BOR00730,2010,123,casse
BOR01483,2010,126,casse
BOR00980,2010,131,casse
BOR01195,2010,137,casse
BOR01655,2010,140,casse
BOR00594,2010,144,casse
BOR01063,2010,155,casse
BOR00672,2010,163,casse
BOR00604,2010,164,casse
BOR01153,2010,164,casse
BOR00264,2010,167,casse
BOR01392,2010,185,casse
BOR00036,2010,191,casse
BOR00498,2010,218,casse
BOR00239,2010,223,casse
BOR00748,2010,227,casse
BOR01080,2010,233,casse
BOR01049,2010,269,casse
BOR01862,2010,279,casse
BOR01688,2010,280,casse
BOR00230,2010,281,casse
BOR00345,2010,285,casse
BOR01642,2010,290,casse
BOR00527,2010,293,casse
BOR01985,2010,297,casse
BOR00789,2010,302,casse
BOR01046,2010,311,casse
BOR00638,2010,313,casse
BOR00554,2010,323,casse
BOR00024,2010,343,casse
BOR01957,2010,345,casse
BOR00754,2010,350,casse
BOR00597,2010,364,casse
BOR01488,2011,19,casse
BOR01082,2011,25,casse
BOR00416,2011,27,casse
BOR00936,2011,39,casse
BOR00832,2011,50,casse
BOR01110,2011,66,casse
BOR01510,2011,80,casse
BOR00885,2011,89,casse
BOR00228,2011,91,casse
BOR01122,2011,95,casse
BOR01362,2011,99,casse
BOR01862,2011,100,casse
BOR01306,2011,111,casse
BOR01596,2011,114,casse
BOR00483,2011,116,casse
BOR00719,2011,118,casse
BOR00729,2011,121,casse
BOR01917,2011,130,casse
BOR01126,2011,131,casse
BOR01059,2011,134,casse
BOR01315,2011,144,casse
BOR00641,2011,149,casse
BOR00822,2011,155,casse
BOR00155,2011,160,casse
BOR01037,2011,164,casse
BOR00877,2011,174,casse
BOR01734,2011,185,casse
BOR00754,2011,194,casse
BOR01728,2011,195,casse
BOR01674,2011,218,casse
BOR01762,2011,218,casse
BOR01993,2011,221,casse
BOR00749,2011,230,casse
BOR01648,2011,231,casse
BOR00909,2011,233,casse
BOR00907,2011,241,casse
BOR01335,2011,243,casse
BOR00744,2011,252,casse
BOR01520,2011,268,casse
BOR01695,2011,274,casse
BOR00876,2011,279,casse
BOR00965,2011,281,casse
BOR00659,2011,284,casse
BOR00160,2011,285,casse
BOR01755,2011,291,casse
BOR01375,2011,292,casse
BOR00458,2011,304,casse
BOR01076,2011,306,casse
BOR01382,2011,309,casse
BOR01631,2011,318,casse
BOR01065,2011,323,casse
BOR01753,2011,330,casse
BOR00585,2011,333,casse
BOR00459,2011,336,casse
BOR00358,2011,346,casse
BOR00574,2011,346,casse
BOR00267,2011,356,casse
BOR00153,2011,358,casse
BOR00608,2011,361,casse
