id_troncon,score_h1,score_h3,score_h5
BOR00000,0.01932,0.04148,0.05889
BOR00001,0.00583,0.01265,0.0181
BOR00002,0.08031,0.16653,0.23155
BOR00003,0.00312,0.0068,0.00975
BOR00004,0.12021,0.24553,0.33864
BOR00005,0.09428,0.19438,0.26944
BOR00006,0.0044,0.00956,0.01369
BOR00007,0.06111,0.12785,0.17865
BOR00008,0.0042,0.00913,0.01308
BOR00009,0.004,0.00869,0.01246
BOR00010,0.00266,0.0058,0.00832
BOR00011,0.06991,0.14565,0.20303
BOR00012,0.0981,0.20195,0.27972
BOR00013,0.05848,0.12251,0.17132
BOR00014,0.02366,0.05062,0.07172
BOR00015,0.025,0.05345,0.07568
BOR00016,0.07667,0.15923,0.22159
BOR00017,0.01871,0.04018,0.05707
BOR00018,0.00401,0.00872,0.0125
BOR00019,0.01531,0.03296,0.04691
BOR00020,0.05666,0.11882,0.16625
BOR00021,0.07689,0.15967,0.2222
BOR00022,0.05999,0.12559,0.17556
BOR00023,0.06134,0.12832,0.1793
BOR00024,0.03927,0.08318,0.11706
BOR00025,0.01237,0.0267,0.03805
BOR00026,0.0212,0.04544,0.06446
BOR00027,0.03718,0.07884,0.11106
BOR00028,0.02052,0.04401,0.06245
BOR00029,0.02375,0.05082,0.072
BOR00030,0.02037,0.04369,0.062
BOR00031,0.12239,0.24979,0.34438
BOR00032,0.02441,0.0522,0.07393
BOR00033,0.02313,0.04951,0.07016
BOR00034,0.00575,0.01247,0.01786
BOR00035,0.17132,0.34472,0.47084
BOR00036,0.13098,0.26659,0.36697
BOR00037,0.0113,0.02441,0.03482
BOR00038,0.00408,0.00887,0.01271
BOR00039,0.03158,0.0672,0.09488
BOR00040,0.09017,0.1862,0.25833
BOR00041,0.0437,0.09229,0.12968
BOR00042,0.0212,0.04545,0.06448
BOR00043,0.06292,0.13153,0.1837
BOR00044,0.00411,0.00894,0.01282
BOR00045,0.02846,0.0607,0.08581
BOR00046,0.02571,0.05494,0.07777
BOR00047,0.06305,0.13179,0.18405
BOR00048,0.00342,0.00744,0.01067
BOR00049,0.02387,0.05107,0.07236
BOR00050,0.02303,0.04931,0.06989
BOR00051,0.03098,0.06596,0.09315
BOR00052,0.04023,0.08515,0.1198
BOR00053,0.02644,0.05646,0.0799
BOR00054,0.01015,0.02194,0.03132
BOR00055,0.0161,0.03465,0.04929
BOR00056,0.02481,0.05304,0.0751
BOR00057,0.02719,0.05803,0.08209
BOR00058,0.01188,0.02564,0.03657
BOR00059,0.02935,0.06255,0.08839
BOR00060,0.01946,0.04177,0.05931
BOR00061,0.03852,0.08161,0.11489
BOR00062,0.01067,0.02307,0.03292
BOR00063,0.06484,0.1354,0.18901
BOR00064,0.12009,0.24529,0.33832
BOR00065,0.02847,0.06073,0.08585
BOR00066,0.00376,0.00817,0.01171
BOR00067,0.02314,0.04954,0.07021
BOR00068,0.00596,0.01293,0.01851
BOR00069,0.11612,0.2375,0.32782
BOR00070,0.01742,0.03745,0.05323
BOR00071,0.08834,0.18256,0.25338
BOR00072,0.00874,0.01892,0.02702
BOR00073,0.00452,0.00983,0.01408
BOR00074,0.00443,0.00962,0.01379
BOR00075,0.03408,0.07241,0.10212
BOR00076,0.01497,0.03225,0.0459
BOR00077,0.01733,0.03725,0.05295
BOR00078,0.03835,0.08126,0.11441
BOR00079,0.02373,0.05079,0.07195
BOR00080,0.02018,0.04329,0.06145
BOR00081,0.11914,0.24343,0.33581
BOR00082,0.13591,0.27622,0.37987
BOR00083,0.07856,0.16302,0.22676
BOR00084,0.01784,0.03834,0.05448
BOR00085,0.02231,0.04778,0.06774
BOR00086,0.14097,0.28607,0.39306
BOR00087,0.01632,0.03511,0.04994
BOR00088,0.02785,0.05941,0.08402
BOR00089,0.04223,0.08927,0.1255
BOR00090,0.02543,0.05434,0.07693
BOR00091,0.0419,0.08858,0.12456
BOR00092,0.13464,0.27375,0.37657
BOR00093,0.04651,0.09808,0.13768
BOR00094,0.03983,0.08432,0.11865
BOR00095,0.05956,0.12472,0.17435
BOR00096,0.01851,0.03977,0.05649
