id,materiau_famille,materiau,diametre,longueur,annee_pose,x1,y1,x2,y2
BOR00000,Fonte,Fonte ductile,600,187.4,1986,-786.8,-3095.4,-623.0,-3004.2
BOR00001,Fonte,Fonte ductile,63,158.1,2005,-839.1,-2995.9,-714.3,-2898.8
BOR00002,Fonte,Fonte grise,32,203.1,1969,-839.1,-2995.9,-974.5,-2844.5
BOR00003,Fonte,Fonte ductile,125,89.0,2011,-974.5,-2844.5,-1039.2,-2783.4
BOR00004,Fonte,Fonte grise,125,162.9,1958,-1039.2,-2783.4,-902.6,-2694.7
BOR00005,Fonte,Fonte grise,125,117.4,1957,-1039.2,-2783.4,-1038.6,-2666.0
BOR00006,Plastique,PEHD,200,137.6,2011,-1038.6,-2666.0,-967.8,-2548.1
BOR00007,Plastique,PVC collé,150,174.6,1965,-1038.6,-2666.0,-1168.0,-2548.8
BOR00008,Plastique,PEHD,500,190.8,2024,-1168.0,-2548.8,-1032.3,-2414.7
BOR00009,Plastique,PEHD,125,137.7,2016,-1287.6,-2406.5,-1156.0,-2366.0
BOR00010,Fonte,Fonte ductile,600,90.1,2015,-1287.6,-2406.5,-1277.8,-2316.9
BOR00011,Fonte,Fonte grise,40,159.8,1939,-1277.8,-2316.9,-1392.5,-2205.7
BOR00012,Fonte,Fonte grise,80,127.9,1930,-1392.5,-2205.7,-1337.5,-2090.2
BOR00013,Plastique,PVC collé,32,208.6,1973,-1392.5,-2205.7,-1532.0,-2050.6
BOR00014,Fonte,Fonte ductile,200,195.9,1981,-1532.0,-2050.6,-1356.0,-1964.5
BOR00015,Plastique,PVC,250,119.9,1981,-1532.0,-2050.6,-1541.3,-1931.1
BOR00016,Fonte,Fonte grise,200,73.5,1951,-1541.3,-1931.1,-1518.7,-1861.1
BOR00017,Plastique,PVC,150,114.7,1989,-1541.3,-1931.1,-1639.2,-1871.2
BOR00018,Fonte,Fonte ductile,500,168.8,2011,-1639.2,-1871.2,-1559.0,-1722.6
BOR00019,Fonte,Fonte ductile,100,139.2,1978,-1639.2,-1871.2,-1666.2,-1734.6
BOR00020,Fonte,Fonte grise,600,146.8,1930,-1666.2,-1734.6,-1606.0,-1600.7
BOR00021,Fonte,Fonte grise,500,226.6,1937,-1666.2,-1734.6,-1858.1,-1614.0
BOR00022,Fonte,Fonte grise,250,147.0,1968,-1858.1,-1614.0,-1725.8,-1549.9
BOR00023,Plastique,PVC collé,200,115.6,1967,-1902.9,-1454.1,-1787.3,-1457.1
BOR00024,Fonte,Fonte grise,250,131.8,1930,-1902.9,-1454.1,-1959.4,-1335.1
BOR00025,Plastique,PEHD,300,131.3,1995,-1959.4,-1335.1,-2031.2,-1225.2
BOR00026,Fonte,Fonte ductile,150,134.1,1983,-2031.2,-1225.2,-1915.2,-1158.0
BOR00027,Fonte,Fonte ductile,80,155.2,1996,-2031.2,-1225.2,-2167.4,-1150.7
BOR00028,Plastique,PVC,150,186.6,1980,-2167.4,-1150.7,-1985.8,-1107.4
BOR00029,Fonte,Fonte ductile,250,140.1,1986,-2167.4,-1150.7,-2255.7,-1042.0
BOR00030,Fonte,Fonte ductile,80,134.0,1970,-2255.7,-1042.0,-2163.2,-944.9
BOR00031,Fonte,Fonte grise,200,142.2,1965,-2255.7,-1042.0,-2328.9,-920.1
BOR00032,Fonte,Fonte ductile,125,164.1,1983,-2328.9,-920.1,-2195.7,-824.2
BOR00033,Fonte,Fonte ductile,250,143.9,1970,-2328.9,-920.1,-2409.3,-800.8
BOR00034,Plastique,PVC,50,175.9,2012,-2409.3,-800.8,-2265.4,-699.6
BOR00035,Ciment,Amiante-ciment,40,193.5,1955,-2476.8,-725.7,-2323.6,-607.6
BOR00036,Plastique,PVC collé,80,181.9,1960,-2476.8,-725.7,-2499.2,-545.2
BOR00037,Fonte,Fonte ductile,150,49.1,1991,-2499.2,-545.2,-2475.4,-502.3
BOR00038,Fonte,Fonte ductile,80,142.7,2015,-2499.2,-545.2,-2603.9,-448.3
BOR00039,Plastique,PEHD,200,83.0,1998,-2603.9,-448.3,-2525.7,-420.6
BOR00040,Fonte,Fonte grise,150,137.2,1964,-2603.9,-448.3,-2707.1,-357.7
BOR00041,Fonte,Fonte ductile,50,173.1,1991,-2707.1,-357.7,-2578.6,-241.7
BOR00042,Fonte,Fonte ductile,50,102.5,1981,-2773.0,-197.7,-2671.5,-212.0
BOR00043,Fonte,Fonte grise,200,109.0,1945,-2773.0,-197.7,-2849.9,-120.5
BOR00044,Fonte,Fonte ductile,100,145.5,2015,-2849.9,-120.5,-2742.7,-22.2
BOR00045,Fonte,Fonte ductile,200,122.8,1995,-2849.9,-120.5,-2939.5,-36.6
BOR00046,Plastique,PEHD,150,130.4,1995,-2939.5,-36.6,-2891.0,84.5
BOR00047,Plastique,PVC collé,200,121.4,1960,-2939.5,-36.6,-3006.1,64.9
