id_troncon,annee,jour,type
SYN000114,2005,24,casse
SYN002488,2005,38,casse
SYN000693,2005,39,casse
SYN001153,2005,40,casse
SYN001236,2005,43,casse
SYN001896,2005,51,casse
SYN001605,2005,60,casse
SYN002200,2005,61,casse
SYN000084,2005,73,casse
SYN001161,2005,80,casse
SYN001943,2005,82,casse
SYN000408,2005,93,casse
SYN001004,2005,100,casse
SYN001108,2005,114,casse
SYN000446,2005,120,casse
SYN000951,2005,124,casse
SYN000736,2005,139,casse
SYN001287,2005,150,casse
SYN000618,2005,159,casse
SYN001113,2005,161,casse
SYN000920,2005,165,casse
SYN002612,2005,165,casse
SYN002724,2005,173,casse
SYN002288,2005,176,casse
SYN001367,2005,181,casse
SYN000942,2005,184,casse
SYN000783,2005,185,casse
SYN001918,2005,192,casse
SYN000674,2005,194,casse
SYN002898,2005,202,casse
SYN000619,2005,212,casse
SYN000807,2005,225,casse
SYN000812,2005,231,casse
SYN000884,2005,244,casse
SYN000106,2005,255,casse
SYN000060,2005,264,casse
SYN000152,2005,264,casse
SYN002445,2005,293,casse
SYN000234,2005,297,casse
SYN002117,2005,317,casse
SYN002993,2005,324,casse
SYN000724,2006,11,casse
SYN002945,2006,44,casse
SYN001130,2006,45,casse
SYN001730,2006,66,casse
SYN002077,2006,81,casse
SYN002008,2006,97,casse
SYN001396,2006,101,casse
SYN002776,2006,111,casse
SYN002061,2006,128,casse
SYN001571,2006,147,casse
SYN001667,2006,160,casse
SYN000732,2006,161,casse
SYN000762,2006,166,casse
SYN002736,2006,181,casse
SYN001427,2006,183,casse
SYN000732,2006,184,casse
SYN000554,2006,213,casse
SYN002688,2006,228,casse
SYN002345,2006,231,casse
SYN002853,2006,252,casse
SYN002566,2006,254,casse
SYN001695,2006,259,casse
SYN001775,2006,302,casse
SYN000871,2006,319,casse
SYN000997,2006,334,casse
SYN001825,2007,9,casse
SYN002228,2007,26,casse
SYN002101,2007,37,casse
SYN001730,2007,40,casse
SYN002560,2007,45,casse
SYN002297,2007,46,casse
SYN001855,2007,75,casse
SYN001250,2007,84,casse
SYN000651,2007,86,casse
SYN001411,2007,87,casse
SYN002284,2007,109,casse
SYN000204,2007,120,casse
SYN000057,2007,143,casse
SYN000756,2007,155,casse
SYN001297,2007,156,casse
SYN002306,2007,166,casse
SYN002228,2007,175,casse
SYN001123,2007,184,casse
SYN001434,2007,189,casse
SYN001277,2007,190,casse
SYN001367,2007,223,casse
SYN000226,2007,234,casse
SYN002462,2007,235,casse
SYN002497,2007,238,casse
SYN001762,2007,239,casse
SYN001584,2007,252,casse
SYN000758,2007,259,casse
SYN000844,2007,281,casse
SYN001876,2007,302,casse
SYN000847,2007,323,casse
SYN002544,2007,341,casse
SYN001483,2007,350,casse
SYN001618,2007,350,casse
SYN000732,2007,358,casse
SYN002423,2008,6,casse
SYN002648,2008,18,casse
SYN001188,2008,26,casse
SYN001568,2008,28,casse
SYN000436,2008,30,casse
SYN000510,2008,56,casse
SYN000390,2008,58,casse
SYN000803,2008,59,casse
SYN002216,2008,65,casse
SYN001823,2008,68,casse
SYN001628,2008,72,casse
SYN002983,2008,83,casse
SYN000114,2008,90,casse
SYN001109,2008,95,casse
SYN002971,2008,98,casse
SYN002895,2008,99,casse
SYN002708,2008,111,casse
SYN002284,2008,130,casse
SYN001014,2008,134,casse
SYN001819,2008,164,casse
SYN001601,2008,170,casse
SYN002568,2008,174,casse
SYN000204,2008,175,casse
SYN000012,2008,186,casse
SYN002297,2008,197,casse
SYN001023,2008,202,casse
SYN000223,2008,249,casse
SYN002002,2008,252,casse
SYN001367,2008,255,casse
SYN000537,2008,279,casse
SYN002327,2008,284,casse
SYN000489,2008,300,casse
SYN000939,2008,303,casse
SYN002387,2008,307,casse
