id_troncon,nb_abonne,nb_abonne_sensible,nb_abonne_tres_sensible
LYO00000,3,0,0
LYO00001,0,0,0
LYO00002,12,0,0
LYO00003,22,0,0
LYO00004,13,0,0
LYO00005,9,0,0
LYO00006,0,0,0
LYO00007,1,0,0
LYO00008,15,0,0
LYO00009,13,0,0
LYO00010,15,0,0
LYO00011,19,0,0
LYO00012,25,0,0
LYO00013,0,0,0
LYO00014,22,0,0
LYO00015,0,0,0
LYO00016,1,0,0
LYO00017,0,0,0
LYO00018,25,0,0
LYO00019,16,0,0
LYO00020,24,0,0
LYO00021,19,0,0
LYO00022,28,0,0
LYO00023,27,0,0
LYO00024,1,0,0
LYO00025,22,0,0
LYO00026,5,0,0
LYO00027,20,0,0
LYO00028,3,0,0
LYO00029,31,0,0
LYO00030,0,0,0
LYO00031,27,0,0
LYO00032,3,0,0
LYO00033,33,0,0
LYO00034,25,0,0
LYO00035,2,0,0
LYO00036,31,0,0
LYO00037,19,0,0
LYO00038,21,0,0
LYO00039,14,0,0
LYO00040,1,0,0
LYO00041,1,0,0
LYO00042,24,0,0
LYO00043,18,0,0
LYO00044,14,0,0
LYO00045,15,0,0
LYO00046,0,0,0
LYO00047,0,0,0
LYO00048,0,0,0
LYO00049,12,0,0
LYO00050,21,0,0
LYO00051,18,0,0
LYO00052,2,0,0
LYO00053,17,0,0
LYO00054,14,0,0
LYO00055,23,1,0
LYO00056,24,0,0
LYO00057,18,0,0
LYO00058,17,0,0
LYO00059,10,0,0
LYO00060,14,0,0
LYO00061,17,0,0
LYO00062,21,0,0
LYO00063,21,0,0
LYO00064,15,0,0
LYO00065,22,0,0
LYO00066,24,0,0
LYO00067,19,0,0
LYO00068,2,0,0
LYO00069,24,0,0
LYO00070,1,0,0
LYO00071,26,0,0
LYO00072,0,0,0
LYO00073,21,0,0
LYO00074,20,0,0
LYO00075,19,0,0
LYO00076,22,0,0
LYO00077,0,0,0
LYO00078,29,0,0
LYO00079,2,0,0
LYO00080,16,0,0
LYO00081,31,0,0
LYO00082,0,0,0
LYO00083,23,0,0
LYO00084,33,0,0
LYO00085,0,0,0
LYO00086,23,0,0
LYO00087,24,0,0
LYO00088,2,0,0
LYO00089,2,0,0
LYO00090,24,0,0
LYO00091,20,0,0
LYO00092,16,0,0
LYO00093,2,0,0
LYO00094,26,0,0
LYO00095,21,0,0
LYO00096,15,0,0
LYO00097,18,0,0
LYO00098,21,0,0
LYO00099,2,0,0
LYO00100,13,0,0
LYO00101,18,0,0
LYO00102,2,0,0
LYO00103,1,0,0
LYO00104,20,0,0
LYO00105,1,0,0
LYO00106,1,0,0
LYO00107,18,0,0
LYO00108,23,0,0
LYO00109,16,0,0
LYO00110,15,0,0
LYO00111,0,0,0
LYO00112,20,0,0
LYO00113,3,0,0
LYO00114,0,0,0
LYO00115,0,0,0
LYO00116,25,0,0
LYO00117,0,0,0
LYO00118,18,0,0
LYO00119,0,0,0
LYO00120,24,0,0
LYO00121,0,0,0
LYO00122,16,0,0
LYO00123,15,0,0
LYO00124,26,0,0
LYO00125,31,0,0
LYO00126,0,0,0
LYO00127,2,0,0
LYO00128,5,0,0
LYO00129,0,0,0
LYO00130,15,0,0
LYO00131,26,0,0
LYO00132,0,0,0
LYO00133,29,0,0
LYO00134,20,0,0
LYO00135,1,0,0
LYO00136,1,0,0
LYO00137,1,0,0
LYO00138,25,0,0
LYO00139,24,0,0
LYO00140,1,0,0
LYO00141,3,0,0
LYO00142,28,0,0
LYO00143,0,0,0
LYO00144,0,0,0
LYO00145,26,1,0
LYO00146,25,0,0
LYO00147,1,0,0
LYO00148,4,0,0
LYO00149,25,0,0
LYO00150,33,0,0
LYO00151,0,0,0
LYO00152,17,0,0
LYO00153,17,0,0
LYO00154,1,0,0
LYO00155,2,0,0
LYO00156,17,0,0
LYO00157,15,0,0
LYO00158,20,0,0
LYO00159,12,0,1
LYO00160,22,0,0
LYO00161,0,0,0
LYO00162,17,0,0
LYO00163,13,0,0
LYO00164,5,0,0
LYO00165,15,0,1
LYO00166,16,0,0
LYO00167,12,0,0
LYO00168,18,0,0
LYO00169,0,0,0
LYO00170,0,0,0
LYO00171,0,0,0
LYO00172,1,0,0
LYO00173,24,0,0
LYO00174,2,0,0
LYO00175,0,0,0
LYO00176,4,0,0
LYO00177,1,0,0
LYO00178,24,0,0
LYO00179,11,0,0
LYO00180,19,2,0
LYO00181,29,0,0
LYO00182,25,0,0
LYO00183,19,0,0
LYO00184,21,0,0
LYO00185,22,0,0
LYO00186,32,0,0
LYO00187,25,0,0
LYO00188,19,0,0
LYO00189,2,0,0
LYO00190,17,0,0
LYO00191,25,0,0
LYO00192,30,0,0
LYO00193,21,0,0
LYO00194,2,0,0
LYO00195,27,0,0
LYO00196,25,0,0
LYO00197,0,0,0
LYO00198,29,0,0
LYO00199,17,0,0
LYO00200,23,0,0
LYO00201,24,1,0
LYO00202,20,0,0
LYO00203,23,0,0
LYO00204,0,0,0
LYO00205,19,0,0
LYO00206,0,0,0
LYO00207,27,0,0
LYO00208,22,0,0
