id_troncon,annee,jour,type
LYO02107,2005,1,casse
LYO00935,2005,17,casse
LYO01728,2005,20,casse
LYO01859,2005,22,casse
LYO00471,2005,50,casse
LYO01442,2005,52,casse
LYO01756,2005,70,casse
LYO00054,2005,73,casse
LYO01776,2005,78,casse
LYO00269,2005,82,casse
LYO00817,2005,88,casse
LYO01109,2005,91,casse
LYO01730,2005,92,casse
LYO00911,2005,100,casse
LYO00701,2005,118,casse
LYO01309,2005,123,casse
LYO00538,2005,137,casse
LYO00525,2005,140,casse
LYO00376,2005,152,casse
LYO01829,2005,152,casse
LYO00209,2005,177,casse
LYO00274,2005,188,casse
LYO02037,2005,191,casse
LYO01039,2005,193,casse
LYO01927,2005,195,casse
LYO00104,2005,201,casse
LYO01528,2005,214,casse
LYO00862,2005,217,casse
LYO01007,2005,219,casse
LYO01499,2005,221,casse
LYO01178,2005,224,casse
LYO02084,2005,240,casse
LYO01517,2005,247,casse
LYO00021,2005,252,casse
LYO01249,2005,255,casse
LYO01025,2005,260,casse
LYO01556,2005,263,casse
LYO01825,2005,265,casse
LYO00757,2005,274,casse
LYO01118,2005,321,casse
LYO00343,2005,322,casse
LYO00420,2005,337,casse
LYO00055,2005,338,casse
LYO00915,2005,338,casse
LYO00824,2005,342,casse
LYO00818,2005,349,casse
LYO00464,2005,350,casse
LYO01713,2005,360,casse
LYO01183,2006,3,casse
LYO00390,2006,12,casse
LYO02054,2006,18,casse
LYO00258,2006,24,casse
LYO01853,2006,33,casse
LYO00069,2006,41,casse
LYO01451,2006,46,casse
LYO01246,2006,55,casse
LYO01662,2006,64,casse
LYO01815,2006,68,casse
LYO00121,2006,83,casse
LYO00078,2006,89,casse
LYO01461,2006,94,casse
LYO00471,2006,95,casse
LYO00751,2006,112,casse
LYO00715,2006,123,casse
LYO01932,2006,124,casse
LYO01118,2006,129,casse
LYO00705,2006,134,casse
LYO01943,2006,144,casse
LYO01985,2006,159,casse
LYO01062,2006,162,casse
LYO00131,2006,164,casse
LYO00254,2006,165,casse
LYO00955,2006,183,casse
LYO00308,2006,185,casse
LYO00912,2006,192,casse
LYO00268,2006,199,casse
LYO01821,2006,208,casse
LYO00958,2006,209,casse
LYO01662,2006,209,casse
LYO00343,2006,213,casse
LYO00407,2006,219,casse
LYO01892,2006,229,casse
LYO00633,2006,235,casse
LYO00875,2006,243,casse
LYO00933,2006,245,casse
LYO00471,2006,249,casse
LYO01824,2006,256,casse
LYO01264,2006,268,casse
LYO00455,2006,274,casse
LYO01328,2006,291,casse
LYO01462,2006,298,casse
LYO00933,2006,300,casse
LYO00380,2006,307,casse
LYO00619,2006,323,casse
LYO01323,2006,328,casse
LYO00920,2006,330,casse
LYO01954,2006,331,casse
LYO01400,2006,332,casse
LYO01077,2006,343,casse
LYO01079,2006,348,casse
LYO00558,2006,351,casse
LYO00881,2006,351,casse
LYO00712,2007,8,casse
LYO01252,2007,14,casse
LYO01186,2007,15,casse
LYO01193,2007,29,casse
LYO00161,2007,32,casse
LYO01965,2007,39,casse
LYO00357,2007,51,casse
LYO00477,2007,69,casse
LYO01446,2007,73,casse
LYO00139,2007,77,casse
LYO00585,2007,79,casse
LYO01228,2007,80,casse
LYO01266,2007,110,casse
LYO01744,2007,114,casse
LYO01548,2007,126,casse
LYO01643,2007,156,casse
LYO01437,2007,158,casse
LYO01881,2007,168,casse
LYO00584,2007,177,casse
LYO01818,2007,180,casse
LYO00162,2007,183,casse
LYO01162,2007,189,casse
LYO01580,2007,205,casse
LYO00153,2007,214,casse
LYO00793,2007,236,casse
LYO01474,2007,245,casse
LYO00964,2007,253,casse
LYO02090,2007,281,casse
LYO01353,2007,282,casse
LYO00660,2007,289,casse
LYO01728,2007,293,casse
LYO00694,2007,311,casse
LYO00753,2007,317,casse
LYO00415,2007,326,casse
LYO01896,2007,330,casse
LYO00620,2007,332,casse
LYO01442,2007,341,casse
LYO01510,2007,341,casse
LYO00847,2007,355,casse
LYO02114,2008,11,casse
LYO00231,2008,17,casse
LYO00570,2008,23,casse
LYO01409,2008,31,casse
LYO01954,2008,41,casse
LYO01255,2008,49,casse
LYO00260,2008,69,casse
LYO01550,2008,69,casse
LYO00441,2008,75,casse
LYO02104,2008,85,casse
LYO01074,2008,90,casse
LYO01295,2008,90,casse
LYO01221,2008,92,casse
LYO00018,2008,97,casse
LYO00792,2008,97,casse
LYO01881,2008,101,casse
LYO00099,2008,107,casse
LYO01218,2008,115,casse
LYO00632,2008,132,casse
LYO01919,2008,132,casse
LYO00854,2008,160,casse
LYO01250,2008,174,casse
LYO01313,2008,201,casse
LYO00719,2008,210,casse
LYO00040,2008,211,casse
LYO00779,2008,215,casse
LYO00168,2008,225,casse
LYO00662,2008,228,casse
LYO01193,2008,228,casse
LYO02002,2008,230,casse
LYO00390,2008,234,casse
LYO00244,2008,235,casse
LYO00449,2008,244,casse
LYO00920,2008,244,casse
LYO01043,2008,246,casse
LYO00561,2008,247,casse
LYO00137,2008,248,casse
LYO01964,2008,268,casse
LYO00325,2008,271,casse
LYO01793,2008,277,casse
LYO00244,2008,285,casse
LYO02105,2008,292,casse
LYO00569,2008,303,casse
LYO01228,2008,305,casse
LYO01724,2008,307,casse
LYO00308,2008,344,casse
LYO00472,2008,357,casse
LYO02111,2008,360,casse
LYO01115,2008,361,casse
LYO00101,2009,1,casse
LYO00681,2009,14,casse
LYO01818,2009,16,casse
LYO01380,2009,24,casse
LYO01154,2009,28,casse
LYO02071,2009,33,casse
LYO01265,2009,48,casse
LYO01234,2009,52,casse
LYO01193,2009,77,casse
LYO00451,2009,81,casse
LYO00629,2009,102,casse
LYO00553,2009,105,casse
LYO01556,2009,114,casse
LYO01950,2009,122,casse
LYO00013,2009,127,casse
LYO00829,2009,127,casse
LYO00616,2009,133,casse
LYO00852,2009,135,casse
LYO00150,2009,156,casse
LYO02061,2009,162,casse
LYO01379,2009,164,casse
LYO00370,2009,183,casse
LYO01181,2009,184,casse
LYO01410,2009,201,casse
LYO00847,2009,205,casse
LYO00555,2009,207,casse
LYO00556,2009,208,casse
LYO01557,2009,212,casse
LYO00232,2009,217,casse
LYO01035,2009,221,casse
LYO00418,2009,222,casse
LYO01606,2009,230,casse
LYO01466,2009,233,casse
LYO01845,2009,245,casse
LYO00632,2009,273,casse
LYO00443,2009,274,casse
LYO01079,2009,274,casse
LYO00054,2009,275,casse
LYO01438,2009,277,casse
LYO01104,2009,287,casse
LYO00279,2009,293,casse
LYO00405,2009,295,casse
LYO01114,2009,295,casse
LYO00738,2009,302,casse
LYO01365,2009,303,casse
LYO00097,2009,322,casse
LYO01755,2009,355,casse
LYO00066,2009,358,casse
LYO00170,2009,359,casse
LYO01728,2009,362,casse
LYO01699,2009,365,casse
LYO00308,2010,8,casse
LYO00773,2010,21,casse
LYO01012,2010,21,casse
LYO00883,2010,32,casse
LYO00554,2010,40,casse
LYO00457,2010,41,casse
LYO02102,2010,54,casse
LYO01927,2010,58,casse
LYO01954,2010,59,casse
LYO01743,2010,62,casse
LYO00081,2010,63,casse
LYO00277,2010,63,casse
LYO01481,2010,83,casse
LYO02110,2010,84,casse
LYO00632,2010,87,casse
LYO01887,2010,110,casse
LYO01092,2010,111,casse
LYO01745,2010,111,casse
LYO01836,2010,112,casse
LYO01377,2010,113,casse
LYO00633,2010,125,casse
LYO01123,2010,128,casse
LYO00542,2010,130,casse
LYO01410,2010,134,casse
LYO00292,2010,139,casse
LYO00662,2010,156,casse
LYO00415,2010,166,casse
LYO01193,2010,200,casse
LYO01917,2010,203,casse
