id_troncon,score_h1,score_h3,score_h5
LYO00000,0.09432,0.19711,0.27458
LYO00001,0.08635,0.18108,0.25275
LYO00002,0.03703,0.07972,0.11305
LYO00003,0.01564,0.03419,0.04899
LYO00004,0.02397,0.05208,0.07429
LYO00005,0.0366,0.07882,0.11179
LYO00006,0.01686,0.03683,0.05274
LYO00007,0.01606,0.0351,0.05028
LYO00008,0.03144,0.06794,0.09657
LYO00009,0.02746,0.0595,0.08473
LYO00010,0.00903,0.01986,0.02857
LYO00011,0.00899,0.01977,0.02844
LYO00012,0.00963,0.02116,0.03044
LYO00013,0.01427,0.03125,0.04481
LYO00014,0.02336,0.05077,0.07244
LYO00015,0.03935,0.0846,0.11985
LYO00016,0.07436,0.15682,0.21958
LYO00017,0.08901,0.18644,0.26005
LYO00018,0.06853,0.14493,0.20327
LYO00019,0.01482,0.03242,0.04648
LYO00020,0.0674,0.14264,0.20012
LYO00021,0.12312,0.2544,0.35203
LYO00022,0.01332,0.02918,0.04187
LYO00023,0.016,0.03498,0.0501
LYO00024,0.01685,0.0368,0.0527
LYO00025,0.02907,0.06293,0.08954
LYO00026,0.09919,0.20687,0.28783
LYO00027,0.0284,0.06151,0.08755
LYO00028,0.0153,0.03347,0.04797
LYO00029,0.00848,0.01865,0.02685
LYO00030,0.06076,0.12903,0.1814
LYO00031,0.01642,0.03587,0.05138
LYO00032,0.06256,0.13271,0.18648
LYO00033,0.0197,0.04293,0.06137
LYO00034,0.00621,0.01369,0.01973
LYO00035,0.04595,0.09839,0.13902
LYO00036,0.01637,0.03577,0.05122
LYO00037,0.01044,0.02292,0.03294
LYO00038,0.03498,0.07542,0.10704
LYO00039,0.04912,0.10497,0.14816
LYO00040,0.08721,0.18281,0.25511
LYO00041,0.0169,0.03692,0.05287
LYO00042,0.042,0.09015,0.12758
LYO00043,0.07809,0.16438,0.22993
LYO00044,0.00904,0.01988,0.02859
LYO00045,0.03792,0.0816,0.11567
LYO00046,0.01565,0.03423,0.04904
LYO00047,0.01908,0.0416,0.05949
LYO00048,0.05212,0.11121,0.15679
LYO00049,0.03389,0.07312,0.10382
LYO00050,0.03132,0.06769,0.09622
LYO00051,0.01761,0.03845,0.05504
LYO00052,0.01462,0.03199,0.04586
LYO00053,0.00964,0.02117,0.03045
LYO00054,0.19484,0.39326,0.53469
LYO00055,0.15351,0.31388,0.43137
LYO00056,0.02168,0.04718,0.06738
LYO00057,0.04202,0.09019,0.12764
LYO00058,0.01999,0.04356,0.06226
