id,materiau_famille,materiau,diametre,longueur,annee_pose,x1,y1,x2,y2
LYO00000,Fonte,Fonte grise,50,97.3,1953,-2024.7,-2514.0,-1927.7,-2522.6
LYO00001,Fonte,Fonte grise,40,135.9,1960,-2041.6,-2357.5,-1906.9,-2375.2
LYO00002,Plastique,PVC collé,125,96.3,1985,-2041.6,-2357.5,-2038.9,-2261.3
LYO00003,Fonte,Fonte ductile,125,76.4,2015,-2038.9,-2261.3,-1982.5,-2209.8
LYO00004,Plastique,PVC,250,205.5,1984,-2038.9,-2261.3,-2089.6,-2062.2
LYO00005,Fonte,Fonte grise,200,135.4,1975,-2089.6,-2062.2,-1954.2,-2065.1
LYO00006,Plastique,PVC,50,86.3,1980,-2089.6,-2062.2,-2097.6,-1976.2
LYO00007,Plastique,PVC,32,94.2,1982,-2097.6,-1976.2,-2003.4,-1977.1
LYO00008,Fonte,Fonte ductile,80,179.1,1970,-2097.6,-1976.2,-2157.1,-1807.2
LYO00009,Fonte,Fonte ductile,125,105.0,1971,-2157.1,-1807.2,-2053.1,-1792.5
LYO00010,Fonte,Fonte ductile,100,74.8,2003,-2157.1,-1807.2,-2171.8,-1733.9
LYO00011,Fonte,Fonte ductile,200,150.4,1988,-2171.8,-1733.9,-2022.9,-1712.3
LYO00012,Fonte,Fonte ductile,250,189.1,2003,-2171.8,-1733.9,-2201.2,-1547.1
LYO00013,Fonte,Fonte ductile,32,130.2,1993,-2201.2,-1547.1,-2199.2,-1416.8
LYO00014,Plastique,PVC,100,159.2,1999,-2199.2,-1416.8,-2183.7,-1258.4
LYO00015,Plastique,PVC collé,300,96.3,1981,-2183.7,-1258.4,-2088.4,-1272.2
LYO00016,Fonte,Fonte grise,40,111.8,1939,-2183.7,-1258.4,-2188.2,-1146.7
LYO00017,Fonte,Fonte grise,32,117.2,1930,-2188.2,-1146.7,-2084.7,-1091.7
LYO00018,Fonte,Fonte grise,80,152.0,1930,-2188.2,-1146.7,-2252.6,-1009.0
LYO00019,Plastique,PVC,100,88.7,2003,-2252.6,-1009.0,-2164.3,-1000.8
LYO00020,Fonte,Fonte grise,80,95.8,1930,-2252.6,-1009.0,-2260.6,-913.5
LYO00021,Ciment,Amiante-ciment,250,139.0,1955,-2260.6,-913.5,-2275.8,-775.4
LYO00022,Fonte,Fonte ductile,150,150.7,2008,-2275.8,-775.4,-2148.8,-694.3
LYO00023,Fonte,Fonte ductile,150,194.6,2006,-2275.8,-775.4,-2326.7,-587.6
LYO00024,Fonte,Fonte ductile,40,134.8,2003,-2326.7,-587.6,-2298.4,-455.8
LYO00025,Plastique,PVC collé,250,85.6,1960,-2298.4,-455.8,-2217.8,-426.9
LYO00026,Fonte,Fonte grise,63,99.1,1946,-2298.4,-455.8,-2323.2,-359.9
LYO00027,Ciment,Amiante-ciment,250,121.6,1955,-2323.2,-359.9,-2216.1,-302.3
LYO00028,Fonte,Fonte ductile,40,138.1,1984,-2323.2,-359.9,-2371.2,-230.4
LYO00029,Fonte,Fonte ductile,100,194.1,2012,-2371.2,-230.4,-2202.9,-133.8
LYO00030,Plastique,PVC collé,300,172.7,1985,-2371.2,-230.4,-2375.0,-57.8
LYO00031,Fonte,Fonte ductile,150,83.2,1999,-2375.0,-57.8,-2301.4,-19.1
LYO00032,Plastique,PVC collé,63,150.0,1963,-2375.0,-57.8,-2422.4,84.6
LYO00033,Fonte,Fonte ductile,125,108.6,1987,-2422.4,84.6,-2314.1,77.1
