id_troncon,nb_abonne,nb_abonne_sensible,nb_abonne_tres_sensible
MAR00000,1,0,0
MAR00001,18,0,0
MAR00002,1,0,0
MAR00003,1,0,0
MAR00004,23,0,0
MAR00005,17,2,0
MAR00006,17,0,0
MAR00007,0,0,0
MAR00008,2,0,0
MAR00009,11,0,0
MAR00010,18,0,0
MAR00011,18,0,0
MAR00012,13,0,0
MAR00013,0,0,0
MAR00014,3,0,0
MAR00015,2,0,0
MAR00016,23,0,0
MAR00017,0,0,0
MAR00018,0,0,0
MAR00019,26,0,0
MAR00020,15,0,0
MAR00021,2,0,0
MAR00022,22,0,0
MAR00023,23,0,0
MAR00024,16,0,0
MAR00025,1,0,0
MAR00026,22,0,0
MAR00027,17,1,0
MAR00028,1,0,0
MAR00029,23,0,0
MAR00030,18,0,0
MAR00031,1,0,0
MAR00032,0,0,0
MAR00033,21,0,0
MAR00034,25,0,0
MAR00035,1,0,0
MAR00036,1,1,0
MAR00037,3,0,0
MAR00038,13,0,0
MAR00039,21,0,0
MAR00040,18,0,0
MAR00041,20,0,0
MAR00042,13,0,0
MAR00043,20,0,1
MAR00044,17,0,0
MAR00045,2,0,0
MAR00046,14,0,0
MAR00047,16,0,0
MAR00048,20,0,0
MAR00049,0,0,0
MAR00050,12,0,0
MAR00051,19,0,0
MAR00052,17,0,0
MAR00053,0,0,0
MAR00054,16,0,0
MAR00055,1,0,0
MAR00056,16,0,0
MAR00057,27,0,0
MAR00058,15,0,0
MAR00059,8,0,0
MAR00060,1,0,0
MAR00061,0,0,0
MAR00062,21,0,0
MAR00063,0,0,0
MAR00064,23,0,0
MAR00065,18,0,0
MAR00066,23,0,0
MAR00067,2,0,0
MAR00068,2,0,0
MAR00069,19,0,0
MAR00070,21,0,0
MAR00071,23,2,0
MAR00072,24,0,0
MAR00073,16,0,0
MAR00074,2,0,0
MAR00075,22,0,0
MAR00076,2,0,0
MAR00077,20,0,0
MAR00078,18,0,0
MAR00079,4,0,0
MAR00080,17,0,0
MAR00081,27,0,0
MAR00082,21,0,0
MAR00083,24,0,0
MAR00084,1,0,0
MAR00085,18,0,0
MAR00086,18,0,0
MAR00087,26,0,0
MAR00088,26,0,0
MAR00089,23,0,0
MAR00090,0,0,0
MAR00091,27,0,0
MAR00092,17,1,0
MAR00093,19,0,0
MAR00094,21,0,0
MAR00095,17,0,0
MAR00096,18,0,0
MAR00097,1,0,1
MAR00098,20,1,0
MAR00099,20,0,0
MAR00100,10,0,0
MAR00101,0,0,0
MAR00102,0,0,0
MAR00103,16,0,0
MAR00104,15,0,0
MAR00105,1,0,0
MAR00106,0,0,0
MAR00107,12,0,0
MAR00108,3,0,0
MAR00109,2,0,0
MAR00110,1,0,0
MAR00111,0,0,0
MAR00112,1,0,0
MAR00113,1,0,0
MAR00114,27,0,0
MAR00115,21,0,0
MAR00116,27,0,0
MAR00117,0,0,0
MAR00118,34,0,0
MAR00119,24,0,0
MAR00120,12,0,0
MAR00121,18,0,0
MAR00122,21,0,0
MAR00123,1,0,0
MAR00124,19,1,0
MAR00125,0,0,0
MAR00126,0,0,0
MAR00127,22,0,0
MAR00128,1,0,0
MAR00129,14,0,0
MAR00130,0,0,0
MAR00131,0,0,0
MAR00132,21,0,0
MAR00133,3,0,0
MAR00134,29,0,0
MAR00135,0,0,0
MAR00136,28,0,0
MAR00137,20,0,0
MAR00138,29,0,0
MAR00139,1,0,0
MAR00140,17,0,0
MAR00141,23,0,0
MAR00142,19,0,0
MAR00143,2,0,0
MAR00144,1,0,0
MAR00145,17,0,0
MAR00146,2,0,0
