id_troncon,annee,jour,type
MAR02018,2005,10,casse
MAR00286,2005,22,casse
MAR00821,2005,28,casse
MAR00679,2005,34,casse
MAR01249,2005,44,casse
MAR02065,2005,44,casse
MAR01692,2005,46,casse
MAR02021,2005,57,casse
MAR01521,2005,62,casse
MAR01947,2005,70,casse
MAR01367,2005,71,casse
MAR00458,2005,73,casse
MAR01766,2005,81,casse
MAR00912,2005,82,casse
MAR01381,2005,97,casse
MAR01952,2005,102,casse
MAR01472,2005,107,casse
MAR01692,2005,121,casse
MAR02149,2005,123,casse
MAR00451,2005,131,casse
MAR01507,2005,132,casse
MAR02009,2005,135,casse
MAR00128,2005,137,casse
MAR01484,2005,137,casse
MAR01999,2005,146,casse
MAR00140,2005,150,casse
MAR01405,2005,150,casse
MAR01853,2005,150,casse
MAR00588,2005,155,casse
MAR00954,2005,168,casse
MAR01665,2005,179,casse
MAR01043,2005,192,casse
MAR01546,2005,199,casse
MAR00777,2005,219,casse
MAR02018,2005,221,casse
MAR02052,2005,239,casse
MAR00642,2005,243,casse
MAR00841,2005,244,casse
MAR00978,2005,250,casse
MAR01312,2005,269,casse
MAR01921,2005,282,casse
MAR01537,2005,294,casse
MAR00514,2005,301,casse
MAR00159,2005,317,casse
MAR01442,2005,344,casse
MAR02160,2005,345,casse
MAR01724,2005,349,casse
MAR00527,2005,354,casse
MAR00079,2005,360,casse
MAR00011,2005,362,casse
MAR00210,2006,6,casse
MAR00535,2006,36,casse
MAR00215,2006,37,casse
MAR00140,2006,41,casse
MAR00202,2006,41,casse
MAR00467,2006,68,casse
MAR01708,2006,76,casse
MAR01921,2006,80,casse
MAR01573,2006,82,casse
MAR01570,2006,89,casse
MAR01244,2006,100,casse
MAR01567,2006,121,casse
MAR00875,2006,125,casse
MAR00284,2006,126,casse
MAR02172,2006,127,casse
MAR02128,2006,129,casse
MAR00051,2006,142,casse
MAR00327,2006,154,casse
MAR01567,2006,157,casse
MAR00495,2006,164,casse
MAR00837,2006,165,casse
MAR01938,2006,165,casse
MAR00616,2006,170,casse
MAR01006,2006,173,casse
MAR01219,2006,181,casse
MAR00625,2006,213,casse
MAR01862,2006,217,casse
MAR01472,2006,222,casse
MAR00687,2006,230,casse
MAR02050,2006,234,casse
MAR00571,2006,238,casse
MAR02060,2006,239,casse
MAR00208,2006,250,casse
MAR00988,2006,259,casse
MAR00954,2006,260,casse
MAR02123,2006,268,casse
MAR00484,2006,269,casse
MAR00085,2006,281,casse
MAR01342,2006,290,casse
MAR01055,2006,294,casse
MAR01870,2006,301,casse
MAR01586,2006,304,casse
MAR02146,2006,315,casse
MAR01318,2006,335,casse
MAR02126,2007,10,casse
MAR01567,2007,11,casse
MAR00614,2007,15,casse
MAR01941,2007,19,casse
