id_troncon,score_h1,score_h3,score_h5
MAR00000,0.0269,0.05165,0.06967
MAR00001,0.07445,0.14024,0.18767
MAR00002,0.03555,0.06792,0.0914
MAR00003,0.02771,0.05317,0.07171
MAR00004,0.02513,0.04829,0.06519
MAR00005,0.06517,0.12307,0.16478
MAR00006,0.07763,0.14611,0.19552
MAR00007,0.01034,0.02007,0.02726
MAR00008,0.02676,0.05138,0.06932
MAR00009,0.02684,0.05153,0.06952
MAR00010,0.02765,0.05306,0.07156
MAR00011,0.03515,0.06717,0.09039
MAR00012,0.00768,0.01494,0.02033
MAR00013,0.00572,0.01115,0.01519
MAR00014,0.07664,0.14428,0.19307
MAR00015,0.08677,0.16302,0.21815
MAR00016,0.01312,0.02541,0.03447
MAR00017,0.02554,0.04907,0.06623
MAR00018,0.02486,0.04779,0.06451
MAR00019,0.01002,0.01946,0.02644
MAR00020,0.03336,0.06381,0.08591
MAR00021,0.06619,0.12495,0.16729
MAR00022,0.03337,0.06383,0.08593
MAR00023,0.02475,0.04758,0.06424
MAR00024,0.05705,0.10802,0.14476
MAR00025,0.0242,0.04654,0.06284
MAR00026,0.06544,0.12356,0.16544
MAR00027,0.02945,0.05646,0.07611
MAR00028,0.04032,0.07687,0.1033
MAR00029,0.00661,0.01286,0.01751
MAR00030,0.01016,0.01972,0.02679
MAR00031,0.0159,0.03073,0.04163
MAR00032,0.00872,0.01694,0.02303
MAR00033,0.01829,0.0353,0.04778
MAR00034,0.03152,0.06037,0.08132
MAR00035,0.01755,0.03388,0.04587
MAR00036,0.02261,0.04352,0.05879
MAR00037,0.06068,0.11474,0.1537
MAR00038,0.046,0.08747,0.11742
MAR00039,0.02446,0.04702,0.06349
MAR00040,0.0139,0.0269,0.03648
MAR00041,0.05649,0.10699,0.14338
MAR00042,0.03487,0.06666,0.08971
MAR00043,0.01945,0.0375,0.05073
MAR00044,0.03573,0.06827,0.09186
MAR00045,0.05655,0.10709,0.14351
MAR00046,0.01571,0.03038,0.04116
MAR00047,0.01787,0.03451,0.04671
MAR00048,0.02621,0.05034,0.06793
MAR00049,0.04132,0.07873,0.10578
MAR00050,0.02655,0.05098,0.06878
MAR00051,0.12027,0.2252,0.30208
MAR00052,0.02904,0.05569,0.07507
MAR00053,0.00837,0.01627,0.02212
MAR00054,0.03226,0.06175,0.08316
MAR00055,0.0213,0.04103,0.05546
MAR00056,0.0097,0.01884,0.0256
MAR00057,0.05336,0.10116,0.13563
MAR00058,0.00876,0.01703,0.02315
MAR00059,0.01262,0.02445,0.03318
MAR00060,0.0185,0.03571,0.04832
MAR00061,0.00807,0.0157,0.02135
MAR00062,0.01423,0.02754,0.03734
MAR00063,0.02464,0.04736,0.06395
MAR00064,0.01992,0.03841,0.05196
MAR00065,0.00871,0.01693,0.02301
MAR00066,0.01962,0.03783,0.05117
MAR00067,0.06304,0.11912,0.15953
MAR00068,0.01329,0.02574,0.03491
MAR00069,0.02575,0.04948,0.06677
MAR00070,0.03828,0.07304,0.09821
MAR00071,0.01096,0.02126,0.02887
MAR00072,0.00984,0.01911,0.02596
MAR00073,0.10058,0.18859,0.25251
MAR00074,0.05974,0.11301,0.15139
MAR00075,0.00539,0.01051,0.01431
MAR00076,0.02115,0.04074,0.05507
MAR00077,0.09238,0.1734,0.23207
MAR00078,0.05308,0.10064,0.13493
MAR00079,0.04345,0.08271,0.11109
MAR00080,0.04232,0.0806,0.10827
MAR00081,0.02858,0.05482,0.07392
MAR00082,0.05187,0.0984,0.13195
MAR00083,0.00919,0.01786,0.02427
MAR00084,0.10693,0.20037,0.26841
MAR00085,0.03389,0.06481,0.08725
MAR00086,0.01216,0.02356,0.03198
MAR00087,0.01558,0.03012,0.04081
MAR00088,0.09294,0.17444,0.23347
MAR00089,0.01623,0.03137,0.0425
MAR00090,0.0147,0.02844,0.03856
MAR00091,0.00714,0.0139,0.01891
MAR00092,0.00937,0.0182,0.02474
MAR00093,0.04907,0.0932,0.12503
MAR00094,0.00911,0.01771,0.02406
MAR00095,0.02123,0.0409,0.05529
MAR00096,0.04192,0.07986,0.10728
MAR00097,0.02088,0.04024,0.0544
MAR00098,0.03114,0.05964,0.08035
MAR00099,0.03348,0.06404,0.08622
MAR00100,0.01457,0.02819,0.03821
MAR00101,0.09764,0.18314,0.24517
MAR00102,0.00891,0.01731,0.02354
MAR00103,0.05022,0.09532,0.12786
MAR00104,0.00484,0.00943,0.01285
MAR00105,0.01592,0.03077,0.04169
MAR00106,0.01594,0.03082,0.04176
MAR00107,0.0589,0.11146,0.14932
MAR00108,0.04448,0.08464,0.11366
MAR00109,0.022,0.04237,0.05726
MAR00110,0.10318,0.19341,0.25901
MAR00111,0.0577,0.10922,0.14635
MAR00112,0.10338,0.19378,0.25952
MAR00113,0.12416,0.23247,0.31197
MAR00114,0.05887,0.1114,0.14925
MAR00115,0.01589,0.03071,0.04161
MAR00116,0.01913,0.03691,0.04993
MAR00117,0.01712,0.03307,0.04478
MAR00118,0.00991,0.01925,0.02615
MAR00119,0.02219,0.04272,0.05772
MAR00120,0.0234,0.04502,0.06081
MAR00121,0.08645,0.16243,0.21736
MAR00122,0.0108,0.02096,0.02846
MAR00123,0.04619,0.08782,0.11788
MAR00124,0.03668,0.07004,0.09422
MAR00125,0.04946,0.09391,0.12599
MAR00126,0.01616,0.03123,0.04231
MAR00127,0.02572,0.04942,0.0667
MAR00128,0.14249,0.26689,0.35904
MAR00129,0.00717,0.01396,0.01899
MAR00130,0.01968,0.03794,0.05132
MAR00131,0.06338,0.11976,0.16038
MAR00132,0.07127,0.13436,0.17983
MAR00133,0.04516,0.08591,0.11534
MAR00134,0.0535,0.10143,0.13599
MAR00135,0.06333,0.11967,0.16025
MAR00136,0.01357,0.02629,0.03565
MAR00137,0.03672,0.07013,0.09433
MAR00138,0.10612,0.19886,0.26637
MAR00139,0.04288,0.08165,0.10967
MAR00140,0.04453,0.08473,0.11377
MAR00141,0.01621,0.03133,0.04244
MAR00142,0.05056,0.09596,0.12871
MAR00143,0.07453,0.14039,0.18788
MAR00144,0.02515,0.04833,0.06524
MAR00145,0.03073,0.05886,0.07931
MAR00146,0.05238,0.09934,0.1332
MAR00147,0.02296,0.04417,0.05968
MAR00148,0.0185,0.0357,0.04831
MAR00149,0.02919,0.05596,0.07543
MAR00150,0.08424,0.15833,0.21187
MAR00151,0.01075,0.02085,0.02832
MAR00152,0.00714,0.0139,0.01891
MAR00153,0.06437,0.12158,0.1628
MAR00154,0.01918,0.03699,0.05005
MAR00155,0.04969,0.09434,0.12655
MAR00156,0.03402,0.06506,0.08758
MAR00157,0.06063,0.11465,0.15358
MAR00158,0.00861,0.01673,0.02275
MAR00159,0.05291,0.10033,0.13452
MAR00160,0.0191,0.03685,0.04986
MAR00161,0.01525,0.02949,0.03996
MAR00162,0.03085,0.05909,0.07961
MAR00163,0.01223,0.0237,0.03217
MAR00164,0.0758,0.14274,0.19101
MAR00165,0.08418,0.15822,0.21172
MAR00166,0.01731,0.03343,0.04526
MAR00167,0.0178,0.03438,0.04653
MAR00168,0.05887,0.1114,0.14925
MAR00169,0.02799,0.0537,0.07241
MAR00170,0.00827,0.01608,0.02187
MAR00171,0.00552,0.01076,0.01465
MAR00172,0.01845,0.03561,0.0482
MAR00173,0.0261,0.05013,0.06765
MAR00174,0.08128,0.15286,0.20454
MAR00175,0.01636,0.03162,0.04283
MAR00176,0.01377,0.02666,0.03615
MAR00177,0.02485,0.04777,0.06449
MAR00178,0.00722,0.01404,0.0191
MAR00179,0.01276,0.02472,0.03354
MAR00180,0.0245,0.0471,0.06359
MAR00181,0.02578,0.04953,0.06684
MAR00182,0.08665,0.1628,0.21785
MAR00183,0.09866,0.18503,0.24772
MAR00184,0.01016,0.01972,0.02679
MAR00185,0.03388,0.06479,0.08721
MAR00186,0.0369,0.07046,0.09477
MAR00187,0.04303,0.08193,0.11004
MAR00188,0.12028,0.22522,0.30211
MAR00189,0.0261,0.05013,0.06764
MAR00190,0.03117,0.0597,0.08043
MAR00191,0.01985,0.03827,0.05176
MAR00192,0.0199,0.03836,0.05189
MAR00193,0.02102,0.04049,0.05474
MAR00194,0.00787,0.0153,0.02082
MAR00195,0.02436,0.04684,0.06324
MAR00196,0.04496,0.08553,0.11483
MAR00197,0.01863,0.03595,0.04865
MAR00198,0.00902,0.01753,0.02382
MAR00199,0.03583,0.06845,0.09209
MAR00200,0.02546,0.04893,0.06604
MAR00201,0.01883,0.03633,0.04915
MAR00202,0.02117,0.04079,0.05514
MAR00203,0.01575,0.03045,0.04126
MAR00204,0.00858,0.01667,0.02267
MAR00205,0.09576,0.17966,0.24049
MAR00206,0.01221,0.02367,0.03212
MAR00207,0.03849,0.07343,0.09874
MAR00208,0.0547,0.10366,0.13895
MAR00209,0.03714,0.07092,0.09539
MAR00210,0.08197,0.15415,0.20627
MAR00211,0.00677,0.01317,0.01793
MAR00212,0.06015,0.11377,0.1524
MAR00213,0.01842,0.03555,0.04811
MAR00214,0.07014,0.13226,0.17703
MAR00215,0.02903,0.05566,0.07503
MAR00216,0.03371,0.06447,0.08679
MAR00217,0.01841,0.03553,0.04809
MAR00218,0.0863,0.16215,0.21698
MAR00219,0.01389,0.0269,0.03647
MAR00220,0.01904,0.03674,0.04971
MAR00221,0.00902,0.01753,0.02382
MAR00222,0.00802,0.0156,0.02122
MAR00223,0.0078,0.01516,0.02062
MAR00224,0.00694,0.0135,0.01838
MAR00225,0.05355,0.10151,0.13609
MAR00226,0.0111,0.02154,0.02925
MAR00227,0.06578,0.1242,0.16629
MAR00228,0.15453,0.28966,0.39033
MAR00229,0.00774,0.01505,0.02046
MAR00230,0.00863,0.01678,0.02281
MAR00231,0.08099,0.15233,0.20384
MAR00232,0.03928,0.07492,0.10071
MAR00233,0.07143,0.13465,0.18022
MAR00234,0.01458,0.02821,0.03823
MAR00235,0.06764,0.12763,0.17087
MAR00236,0.01951,0.03763,0.0509
MAR00237,0.07904,0.14872,0.199
MAR00238,0.00836,0.01625,0.0221
MAR00239,0.00948,0.01841,0.02502
MAR00240,0.01519,0.02938,0.03982
MAR00241,0.0477,0.09064,0.12163
MAR00242,0.09824,0.18425,0.24667
MAR00243,0.01937,0.03735,0.05053
MAR00244,0.05211,0.09885,0.13255
MAR00245,0.09115,0.17113,0.22903
MAR00246,0.01114,0.02161,0.02934
MAR00247,0.01687,0.0326,0.04414
MAR00248,0.04365,0.08308,0.11157
MAR00249,0.04813,0.09144,0.12269
MAR00250,0.03698,0.07061,0.09498
MAR00251,0.0122,0.02365,0.03209
MAR00252,0.07398,0.13937,0.18651
MAR00253,0.03793,0.0724,0.09736
MAR00254,0.03068,0.05878,0.0792
MAR00255,0.05086,0.09651,0.12945
MAR00256,0.03597,0.06872,0.09245
MAR00257,0.00955,0.01855,0.02521
MAR00258,0.0161,0.03111,0.04215
MAR00259,0.07216,0.136,0.18202
MAR00260,0.02835,0.05437,0.07332
MAR00261,0.00854,0.01661,0.02258
MAR00262,0.02461,0.04732,0.06388
MAR00263,0.01946,0.03754,0.05078
MAR00264,0.09713,0.1822,0.2439
MAR00265,0.03914,0.07466,0.10037
MAR00266,0.00758,0.01474,0.02005
MAR00267,0.01613,0.03118,0.04224
MAR00268,0.0572,0.10829,0.14511
MAR00269,0.01041,0.02021,0.02745
MAR00270,0.0352,0.06727,0.09052
MAR00271,0.02259,0.04348,0.05875
MAR00272,0.00808,0.01572,0.02137
MAR00273,0.02297,0.04419,0.0597
MAR00274,0.04728,0.08986,0.12059
MAR00275,0.04951,0.09401,0.12612
MAR00276,0.089,0.16714,0.22367
MAR00277,0.05756,0.10896,0.146
MAR00278,0.05001,0.09494,0.12735
MAR00279,0.04496,0.08553,0.11483
MAR00280,0.05739,0.10865,0.14559
MAR00281,0.01856,0.03582,0.04848
MAR00282,0.01849,0.03569,0.0483
MAR00283,0.02508,0.04819,0.06505
MAR00284,0.07774,0.14632,0.1958
MAR00285,0.02068,0.03985,0.05389
MAR00286,0.03912,0.07463,0.10033
MAR00287,0.03947,0.07527,0.10118
MAR00288,0.0148,0.02864,0.03882
MAR00289,0.07527,0.14175,0.1897
MAR00290,0.03729,0.0712,0.09576
MAR00291,0.02094,0.04034,0.05454
MAR00292,0.04042,0.07705,0.10354
MAR00293,0.01985,0.03827,0.05177
MAR00294,0.091,0.17084,0.22864
MAR00295,0.02809,0.0539,0.07268
MAR00296,0.02246,0.04324,0.05843
MAR00297,0.05244,0.09945,0.13335
MAR00298,0.00993,0.01928,0.02619
MAR00299,0.06819,0.12866,0.17223
MAR00300,0.04829,0.09174,0.1231
MAR00301,0.1168,0.21873,0.29329
MAR00302,0.01946,0.03753,0.05076
MAR00303,0.01215,0.02355,0.03196
MAR00304,0.01672,0.0323,0.04375
MAR00305,0.03066,0.05873,0.07914
MAR00306,0.00716,0.01393,0.01896
MAR00307,0.02676,0.05137,0.0693
MAR00308,0.08328,0.15656,0.2095
MAR00309,0.02139,0.04119,0.05568
MAR00310,0.07905,0.14874,0.19904
MAR00311,0.01735,0.03351,0.04536
MAR00312,0.02337,0.04495,0.06072
MAR00313,0.00889,0.01728,0.02349
MAR00314,0.01447,0.028,0.03795
MAR00315,0.00662,0.01289,0.01755
MAR00316,0.02334,0.04491,0.06066
MAR00317,0.00907,0.01762,0.02395
MAR00318,0.03925,0.07487,0.10065
MAR00319,0.04696,0.08926,0.11979
MAR00320,0.00951,0.01848,0.02511
MAR00321,0.02682,0.05149,0.06946
MAR00322,0.01737,0.03354,0.04541
MAR00323,0.05085,0.0965,0.12942
MAR00324,0.00642,0.01251,0.01703
MAR00325,0.02094,0.04035,0.05455
MAR00326,0.03902,0.07443,0.10005
MAR00327,0.01585,0.03065,0.04152
MAR00328,0.08332,0.15664,0.2096
MAR00329,0.00854,0.0166,0.02257
MAR00330,0.06951,0.13111,0.17549
MAR00331,0.03048,0.05839,0.07868
MAR00332,0.00842,0.01636,0.02225
MAR00333,0.01982,0.03822,0.05169
MAR00334,0.0535,0.10143,0.13599
MAR00335,0.01955,0.0377,0.051
MAR00336,0.02695,0.05174,0.0698
MAR00337,0.06028,0.11401,0.15272
MAR00338,0.02243,0.04319,0.05835
MAR00339,0.06201,0.11722,0.157
MAR00340,0.01816,0.03504,0.04743
MAR00341,0.01225,0.02375,0.03223
MAR00342,0.01602,0.03097,0.04196
MAR00343,0.05269,0.09992,0.13398
MAR00344,0.01891,0.03648,0.04936
MAR00345,0.01298,0.02514,0.0341
MAR00346,0.04748,0.09024,0.1211
MAR00347,0.01442,0.0279,0.03783
MAR00348,0.0109,0.02115,0.02873
MAR00349,0.11621,0.21763,0.29179
MAR00350,0.02046,0.03943,0.05332
MAR00351,0.01418,0.02744,0.03721
MAR00352,0.00794,0.01544,0.021
MAR00353,0.08385,0.15762,0.21092
MAR00354,0.01701,0.03287,0.04451
MAR00355,0.07066,0.13324,0.17833
MAR00356,0.01093,0.02121,0.02881
MAR00357,0.01527,0.02954,0.04003
MAR00358,0.0788,0.14828,0.19842
MAR00359,0.01931,0.03724,0.05037
MAR00360,0.01593,0.0308,0.04173
MAR00361,0.06073,0.11484,0.15383
MAR00362,0.01387,0.02684,0.0364
MAR00363,0.01111,0.02154,0.02925
MAR00364,0.01909,0.03682,0.04982
MAR00365,0.07461,0.14053,0.18807
MAR00366,0.01775,0.03427,0.04638
MAR00367,0.03887,0.07414,0.09968
MAR00368,0.01174,0.02277,0.0309
MAR00369,0.02553,0.04906,0.06621
MAR00370,0.00897,0.01744,0.0237
MAR00371,0.02863,0.05491,0.07403
MAR00372,0.0056,0.01092,0.01487
MAR00373,0.01915,0.03695,0.04999
MAR00374,0.06444,0.12171,0.16297
MAR00375,0.06709,0.12661,0.16951
MAR00376,0.02935,0.05627,0.07584
MAR00377,0.00555,0.01081,0.01473
MAR00378,0.02482,0.0477,0.0644
MAR00379,0.07606,0.14322,0.19166
MAR00380,0.03883,0.07408,0.0996
MAR00381,0.09576,0.17965,0.24048
MAR00382,0.12335,0.23097,0.30993
MAR00383,0.10143,0.19017,0.25465
MAR00384,0.00792,0.0154,0.02095
MAR00385,0.04078,0.07773,0.10445
MAR00386,0.07141,0.13462,0.18018
MAR00387,0.04269,0.08129,0.10919
MAR00388,0.02775,0.05324,0.0718
MAR00389,0.04322,0.08228,0.11052
MAR00390,0.01336,0.02587,0.03509
MAR00391,0.08302,0.15607,0.20884
MAR00392,0.10296,0.193,0.25847
MAR00393,0.00979,0.019,0.02582
MAR00394,0.01826,0.03524,0.0477
MAR00395,0.00634,0.01234,0.0168
MAR00396,0.00714,0.01388,0.01889
MAR00397,0.01842,0.03555,0.04811
MAR00398,0.02216,0.04266,0.05765
MAR00399,0.07576,0.14266,0.19092
MAR00400,0.00651,0.01268,0.01726
MAR00401,0.01552,0.03001,0.04066
MAR00402,0.03392,0.06486,0.08731
MAR00403,0.0166,0.03208,0.04345
MAR00404,0.03011,0.05771,0.07777
MAR00405,0.08327,0.15654,0.20947
MAR00406,0.0329,0.06296,0.08477
MAR00407,0.12916,0.24183,0.32474
MAR00408,0.01923,0.03708,0.05017
MAR00409,0.0332,0.06352,0.08552
MAR00410,0.01039,0.02017,0.02739
MAR00411,0.02449,0.04709,0.06358
MAR00412,0.01252,0.02426,0.03292
MAR00413,0.01783,0.03442,0.04659
MAR00414,0.02279,0.04385,0.05924
MAR00415,0.02285,0.04397,0.05941
MAR00416,0.00862,0.01676,0.02278
MAR00417,0.01377,0.02666,0.03616
MAR00418,0.01918,0.037,0.05006
MAR00419,0.07694,0.14485,0.19383
MAR00420,0.02553,0.04905,0.06619
MAR00421,0.0544,0.1031,0.1382
MAR00422,0.02441,0.04693,0.06337
MAR00423,0.10068,0.18877,0.25276
MAR00424,0.08433,0.1585,0.2121
MAR00425,0.01419,0.02746,0.03723
MAR00426,0.01996,0.03847,0.05204
MAR00427,0.05151,0.09773,0.13106
MAR00428,0.12322,0.23071,0.30958
MAR00429,0.02655,0.05099,0.06879
MAR00430,0.02291,0.04408,0.05955
MAR00431,0.00778,0.01512,0.02057
MAR00432,0.05644,0.10689,0.14326
MAR00433,0.04356,0.08292,0.11136
MAR00434,0.18062,0.33959,0.45912
MAR00435,0.01554,0.03005,0.04072
MAR00436,0.00823,0.016,0.02175
MAR00437,0.01827,0.03526,0.04773
MAR00438,0.02055,0.03961,0.05356
MAR00439,0.06668,0.12586,0.1685
MAR00440,0.10163,0.19053,0.25513
MAR00441,0.07226,0.13619,0.18228
MAR00442,0.00624,0.01216,0.01655
MAR00443,0.03477,0.06647,0.08946
MAR00444,0.05897,0.11158,0.14949
MAR00445,0.00616,0.01199,0.01632
MAR00446,0.03412,0.06524,0.08781
MAR00447,0.03125,0.05986,0.08064
MAR00448,0.02419,0.04652,0.06282
MAR00449,0.02411,0.04637,0.06262
MAR00450,0.02931,0.05618,0.07573
MAR00451,0.05856,0.11082,0.14847
MAR00452,0.01455,0.02816,0.03817
MAR00453,0.01351,0.02616,0.03548
MAR00454,0.01992,0.0384,0.05194
MAR00455,0.01965,0.0379,0.05126
MAR00456,0.03928,0.07493,0.10073
MAR00457,0.05231,0.09921,0.13304
MAR00458,0.0206,0.0397,0.05367
MAR00459,0.03154,0.0604,0.08136
MAR00460,0.02463,0.04734,0.06392
MAR00461,0.01046,0.02031,0.02759
MAR00462,0.06803,0.12837,0.17184
MAR00463,0.05975,0.11302,0.15141
MAR00464,0.01872,0.03612,0.04888
MAR00465,0.03133,0.06,0.08082
MAR00466,0.05307,0.10064,0.13493
MAR00467,0.10425,0.1954,0.26171
MAR00468,0.01579,0.03052,0.04136
MAR00469,0.02471,0.0475,0.06413
MAR00470,0.07548,0.14214,0.19022
MAR00471,0.10973,0.20556,0.27544
MAR00472,0.02557,0.04914,0.06632
MAR00473,0.13945,0.26117,0.35119
MAR00474,0.01238,0.02399,0.03255
MAR00475,0.01251,0.02425,0.0329
MAR00476,0.04301,0.08189,0.10999
MAR00477,0.02634,0.05059,0.06826
MAR00478,0.06043,0.11429,0.1531
MAR00479,0.01737,0.03355,0.04542
MAR00480,0.02151,0.04142,0.05599
MAR00481,0.009,0.01748,0.02376
MAR00482,0.05967,0.11288,0.15121
MAR00483,0.0108,0.02096,0.02847
MAR00484,0.02572,0.04942,0.06669
MAR00485,0.03952,0.07538,0.10132
MAR00486,0.0148,0.02864,0.03882
MAR00487,0.02574,0.04944,0.06673
MAR00488,0.03544,0.06771,0.09112
MAR00489,0.04049,0.07718,0.10372
MAR00490,0.01406,0.02722,0.03691
MAR00491,0.00684,0.01331,0.01811
MAR00492,0.03936,0.07507,0.10091
MAR00493,0.01721,0.03325,0.04502
