id,materiau_famille,materiau,diametre,longueur,annee_pose,x1,y1,x2,y2
MAR00000,Plastique,PVC collé,32,68.4,1972,-1523.3,-2993.8,-1455.9,-3005.6
MAR00001,Plastique,PVC collé,80,173.1,1985,-1523.3,-2993.8,-1629.5,-2857.0
MAR00002,Acier,Acier,32,187.0,1976,-1629.5,-2857.0,-1444.6,-2828.5
MAR00003,Fonte,Fonte grise,50,154.5,1957,-1629.5,-2857.0,-1670.4,-2708.1
MAR00004,Plastique,PVC collé,150,114.1,1985,-1670.4,-2708.1,-1564.1,-2666.7
MAR00005,Ciment,Amiante-ciment,250,139.0,1957,-1670.4,-2708.1,-1702.8,-2572.9
MAR00006,Fonte,Fonte grise,200,110.4,1944,-1702.8,-2572.9,-1595.8,-2545.7
MAR00007,Fonte,Fonte ductile,300,145.7,2001,-1702.8,-2572.9,-1751.3,-2435.5
MAR00008,Fonte,Fonte grise,40,90.3,1975,-1751.3,-2435.5,-1671.3,-2477.3
MAR00009,Plastique,PVC collé,100,147.3,1979,-1751.3,-2435.5,-1870.3,-2348.6
MAR00010,Plastique,PVC collé,100,152.4,1985,-1870.3,-2348.6,-1717.9,-2352.2
MAR00011,Fonte,Fonte grise,200,188.4,1973,-1870.3,-2348.6,-1864.6,-2160.3
MAR00012,Fonte,Fonte ductile,200,143.6,2012,-1864.6,-2160.3,-1724.2,-2190.5
MAR00013,Fonte,Fonte ductile,32,90.6,2015,-1864.6,-2160.3,-1948.7,-2126.7
MAR00014,Plastique,PVC collé,63,176.7,1960,-1948.7,-2126.7,-1826.0,-1999.6
MAR00015,Fonte,Fonte grise,40,154.6,1951,-1948.7,-2126.7,-1947.6,-1972.1
MAR00016,Plastique,PEHD,125,94.9,2021,-1947.6,-1972.1,-1911.3,-1884.5
MAR00017,Acier,Acier,400,192.5,1975,-2088.7,-1824.2,-1898.2,-1796.8
MAR00018,Plastique,PVC collé,600,133.3,1966,-2088.7,-1824.2,-2052.5,-1695.9
MAR00019,Plastique,PVC,200,137.5,2000,-2052.5,-1695.9,-1970.3,-1585.7
MAR00020,Plastique,PVC collé,100,191.7,1976,-2052.5,-1695.9,-2150.5,-1531.1
MAR00021,Fonte,Fonte ductile,50,150.8,1990,-2150.5,-1531.1,-2001.4,-1508.9
MAR00022,Acier,Acier,80,127.5,1962,-2150.5,-1531.1,-2220.7,-1424.7
MAR00023,Plastique,PEHD,100,180.7,1996,-2220.7,-1424.7,-2041.2,-1404.7
MAR00024,Fonte,Fonte grise,200,87.2,1938,-2220.7,-1424.7,-2244.6,-1340.8
MAR00025,Plastique,PEHD,50,183.8,1995,-2244.6,-1340.8,-2105.1,-1221.1
MAR00026,Plastique,PVC collé,200,204.1,1960,-2244.6,-1340.8,-2306.7,-1146.4
MAR00027,Plastique,PVC,150,89.3,1989,-2306.7,-1146.4,-2360.0,-1074.8
MAR00028,Fonte,Fonte ductile,32,137.9,1985,-2360.0,-1074.8,-2429.3,-955.6
MAR00029,Fonte,Fonte ductile,80,128.7,2014,-2429.3,-955.6,-2314.8,-897.0
MAR00030,Fonte,Fonte ductile,150,219.5,2011,-2429.3,-955.6,-2463.4,-738.8
MAR00031,Fonte,Fonte ductile,63,111.8,2003,-2463.4,-738.8,-2353.9,-761.4
MAR00032,Fonte,Fonte ductile,400,100.3,1993,-2463.4,-738.8,-2486.9,-641.2
MAR00033,Plastique,PVC collé,80,77.4,1985,-2486.9,-641.2,-2434.7,-584.1
MAR00034,Plastique,PVC,150,167.6,1980,-2589.0,-465.8,-2431.3,-409.0
MAR00035,Plastique,PEHD,50,107.6,1995,-2589.0,-465.8,-2661.5,-386.3
MAR00036,Plastique,PVC collé,63,141.8,1968,-2661.5,-386.3,-2694.6,-248.4
MAR00037,Acier,Acier,63,180.3,1950,-2694.6,-248.4,-2521.4,-198.1
MAR00038,Plastique,PVC collé,80,126.8,1960,-2694.6,-248.4,-2758.0,-138.6
MAR00039,Ciment,Amiante-ciment,250,184.1,1979,-2758.0,-138.6,-2607.1,-33.0
MAR00040,Plastique,PVC,125,157.1,1998,-2758.0,-138.6,-2754.5,18.4
MAR00041,Fonte,Fonte grise,150,96.2,1948,-2754.5,18.4,-2697.6,96.0
MAR00042,Fonte,Fonte ductile,80,208.1,1984,-2754.5,18.4,-2875.4,187.8
MAR00043,Fonte,Fonte ductile,250,180.5,1970,-2875.4,187.8,-2706.5,251.6
MAR00044,Plastique,PVC collé,200,86.2,1982,-2875.4,187.8,-2868.5,273.8
MAR00045,Acier,Acier,32,130.9,1957,-2868.5,273.8,-2760.5,347.7
MAR00046,Plastique,PEHD,150,145.9,2003,-2868.5,273.8,-2948.9,395.5
MAR00047,Fonte,Fonte ductile,125,174.9,1970,-2948.9,395.5,-3044.7,541.8
MAR00048,Fonte,Fonte ductile,125,220.5,1996,-3044.7,541.8,-2852.2,649.3
MAR00049,Fonte,Fonte grise,50,126.7,1975,-3044.7,541.8,-3026.6,667.2
MAR00050,Plastique,PVC collé,125,159.5,1983,-3026.6,667.2,-2880.3,730.7
MAR00051,Fonte,Fonte grise,100,186.4,1948,-3134.5,819.1,-2949.2,839.1
MAR00052,Plastique,PVC collé,100,166.2,1975,-3134.5,819.1,-3156.1,983.9
MAR00053,Plastique,PEHD,50,134.7,2022,-3156.1,983.9,-3021.9,995.2
MAR00054,Fonte,Fonte ductile,125,122.3,1989,-3156.1,983.9,-3187.8,1102.0
MAR00055,Plastique,PVC collé,32,110.4,1985,-3187.8,1102.0,-3080.5,1076.2
MAR00056,Plastique,PVC,125,134.2,2012,-1455.9,-3005.6,-1356.6,-2915.4
MAR00057,Plastique,PVC collé,250,177.4,1985,-1455.9,-3005.6,-1444.6,-2828.5
MAR00058,Plastique,PVC,100,55.2,2007,-1444.6,-2828.5,-1395.8,-2802.9
MAR00059,Plastique,PVC,200,201.2,2000,-1444.6,-2828.5,-1564.1,-2666.7
MAR00060,Plastique,PVC,50,158.2,2003,-1564.1,-2666.7,-1417.8,-2606.5
MAR00061,Fonte,Fonte ductile,600,125.1,1998,-1564.1,-2666.7,-1595.8,-2545.7
MAR00062,Plastique,PEHD,125,153.6,2024,-1595.8,-2545.7,-1469.6,-2458.1
MAR00063,Fonte,Fonte ductile,600,228.8,1978,-1671.3,-2477.3,-1507.4,-2317.7
MAR00064,Plastique,PVC,100,133.6,1995,-1671.3,-2477.3,-1717.9,-2352.2
MAR00065,Fonte,Fonte ductile,100,161.8,2015,-1717.9,-2352.2,-1724.2,-2190.5
MAR00066,Plastique,PEHD,100,127.2,1995,-1724.2,-2190.5,-1605.9,-2143.8
MAR00067,Ciment,Amiante-ciment,32,216.3,1955,-1724.2,-2190.5,-1826.0,-1999.6
MAR00068,Plastique,PEHD,32,100.5,1995,-1826.0,-1999.6,-1730.4,-1968.6
MAR00069,Fonte,Fonte ductile,100,143.2,1997,-1826.0,-1999.6,-1911.3,-1884.5
MAR00070,Fonte,Fonte grise,125,156.7,1954,-1911.3,-1884.5,-1755.2,-1870.6
MAR00071,Plastique,PVC,250,88.7,2008,-1911.3,-1884.5,-1898.2,-1796.8
MAR00072,Fonte,Fonte ductile,200,223.0,2015,-1898.2,-1796.8,-1970.3,-1585.7
MAR00073,Fonte,Fonte grise,250,133.8,1938,-1970.3,-1585.7,-1847.8,-1639.6
MAR00074,Plastique,PVC collé,63,111.6,1985,-2001.4,-1508.9,-2041.2,-1404.7
MAR00075,Fonte,Fonte ductile,250,78.6,2015,-2041.2,-1404.7,-1967.0,-1378.5
MAR00076,Plastique,PEHD,50,194.4,2007,-2041.2,-1404.7,-2105.1,-1221.1
MAR00077,Fonte,Fonte grise,250,120.4,1959,-2105.1,-1221.1,-1986.9,-1198.4
MAR00078,Fonte,Fonte grise,200,102.8,1975,-2105.1,-1221.1,-2160.4,-1134.5
