id_troncon,nb_abonne,nb_abonne_sensible,nb_abonne_tres_sensible
PAR00000,1,0,0
PAR00001,2,0,0
PAR00002,13,0,0
PAR00003,1,0,0
PAR00004,8,0,0
PAR00005,23,0,0
PAR00006,22,0,0
PAR00007,24,0,0
PAR00008,14,0,0
PAR00009,18,0,0
PAR00010,19,0,0
PAR00011,16,0,0
PAR00012,35,0,0
PAR00013,1,0,0
PAR00014,0,0,0
PAR00015,2,0,0
PAR00016,25,0,0
PAR00017,3,0,0
PAR00018,2,0,0
PAR00019,0,0,0
PAR00020,19,0,0
PAR00021,26,0,0
PAR00022,1,0,0
PAR00023,1,0,0
PAR00024,22,0,0
PAR00025,0,0,0
PAR00026,0,0,0
PAR00027,19,0,0
PAR00028,0,0,0
PAR00029,0,0,0
PAR00030,0,0,0
PAR00031,28,0,0
PAR00032,29,2,0
PAR00033,29,0,0
PAR00034,18,0,0
PAR00035,31,0,0
PAR00036,12,0,0
PAR00037,23,0,0
PAR00038,10,0,1
PAR00039,3,0,0
PAR00040,20,0,0
PAR00041,20,0,0
PAR00042,0,0,0
PAR00043,23,0,0
PAR00044,18,0,0
PAR00045,24,0,0
PAR00046,16,0,0
PAR00047,20,0,0
PAR00048,2,0,0
PAR00049,1,0,0
PAR00050,0,0,0
PAR00051,13,0,0
PAR00052,11,0,0
PAR00053,18,0,0
PAR00054,19,0,0
PAR00055,19,0,0
PAR00056,19,0,0
PAR00057,26,0,0
PAR00058,11,0,0
PAR00059,19,0,0
PAR00060,0,0,0
PAR00061,21,0,0
PAR00062,4,0,0
PAR00063,15,0,0
PAR00064,26,0,0
PAR00065,19,0,0
PAR00066,1,0,0
PAR00067,20,0,0
PAR00068,5,0,0
PAR00069,24,0,0
PAR00070,12,0,0
PAR00071,0,0,0
PAR00072,2,0,0
PAR00073,21,0,0
PAR00074,12,0,0
PAR00075,20,0,0
PAR00076,27,0,0
PAR00077,19,0,0
PAR00078,0,0,0
PAR00079,4,0,0
PAR00080,18,0,0
PAR00081,0,0,0
PAR00082,21,0,0
PAR00083,21,0,0
PAR00084,28,0,0
PAR00085,20,0,0
PAR00086,2,0,0
PAR00087,25,0,0
PAR00088,0,0,0
PAR00089,0,0,0
PAR00090,17,0,0
PAR00091,18,0,0
PAR00092,20,0,0
PAR00093,1,0,0
PAR00094,16,0,0
PAR00095,21,0,0
PAR00096,13,0,0
PAR00097,1,1,0
PAR00098,22,0,0
PAR00099,18,0,0
PAR00100,17,0,1
PAR00101,20,0,0
PAR00102,1,0,0
PAR00103,5,0,0
PAR00104,0,0,0
PAR00105,18,0,0
PAR00106,19,0,0
PAR00107,14,0,0
PAR00108,11,0,0
PAR00109,9,0,0
PAR00110,0,0,0
PAR00111,25,0,0
PAR00112,1,1,0
PAR00113,16,0,0
PAR00114,27,0,0
PAR00115,0,0,0
PAR00116,27,0,0
PAR00117,2,1,0
PAR00118,2,0,0
PAR00119,19,0,0
PAR00120,14,0,0
PAR00121,24,0,0
PAR00122,26,0,0
PAR00123,6,0,0
PAR00124,1,0,0
PAR00125,2,0,0
PAR00126,16,0,0
PAR00127,3,0,0
PAR00128,1,0,0
PAR00129,25,0,0
PAR00130,3,0,0
PAR00131,24,2,0
PAR00132,28,0,0
PAR00133,1,0,0
PAR00134,23,0,0
PAR00135,27,0,0
PAR00136,13,0,0
PAR00137,19,0,0
PAR00138,26,0,0
PAR00139,1,0,0
PAR00140,24,0,0
PAR00141,0,0,0
PAR00142,2,0,0
PAR00143,23,0,0
PAR00144,15,0,0
PAR00145,3,0,0
PAR00146,22,0,0
PAR00147,22,0,0
PAR00148,14,0,0
PAR00149,23,0,0
PAR00150,22,0,0
PAR00151,12,0,0
PAR00152,24,0,0
PAR00153,17,0,0
PAR00154,22,0,0
PAR00155,22,0,0
PAR00156,21,0,0
PAR00157,14,0,0
PAR00158,0,0,0
PAR00159,3,0,0
PAR00160,0,0,0
PAR00161,24,0,0
PAR00162,14,0,0
PAR00163,21,0,0
PAR00164,8,0,0
PAR00165,2,0,0
PAR00166,13,0,0
PAR00167,18,0,0
PAR00168,20,0,0
