id_troncon,annee,jour,type
PAR00579,2005,7,casse
PAR00831,2005,22,casse
PAR01468,2005,22,casse
PAR02094,2005,64,casse
PAR00671,2005,80,casse
PAR01084,2005,82,casse
PAR02170,2005,95,casse
PAR01571,2005,105,casse
PAR00621,2005,108,casse
PAR01046,2005,108,casse
PAR01381,2005,109,casse
PAR01513,2005,129,casse
PAR00951,2005,137,casse
PAR00931,2005,143,casse
PAR00081,2005,152,casse
PAR00062,2005,156,casse
PAR00681,2005,163,casse
PAR00685,2005,181,casse
PAR01531,2005,184,casse
PAR02032,2005,187,casse
PAR01750,2005,189,casse
PAR02119,2005,218,casse
PAR01207,2005,222,casse
PAR01426,2005,232,casse
PAR01238,2005,243,casse
PAR01127,2005,246,casse
PAR01791,2005,256,casse
PAR01849,2005,258,casse
PAR00086,2005,273,casse
PAR01622,2005,276,casse
PAR01683,2005,303,casse
PAR00153,2005,304,casse
PAR01039,2005,310,casse
PAR01369,2005,336,casse
PAR00845,2005,337,casse
PAR01397,2005,354,casse
PAR00628,2005,363,casse
PAR00785,2005,363,casse
PAR01346,2006,1,casse
PAR00250,2006,5,casse
PAR00688,2006,7,casse
PAR00741,2006,7,casse
PAR02013,2006,19,casse
PAR01307,2006,26,casse
PAR01999,2006,33,casse
PAR00284,2006,49,casse
PAR00174,2006,62,casse
PAR00189,2006,65,casse
PAR01502,2006,109,casse
PAR01677,2006,131,casse
PAR02254,2006,132,casse
PAR01841,2006,134,casse
PAR01138,2006,144,casse
PAR01639,2006,153,casse
PAR01400,2006,159,casse
PAR02204,2006,176,casse
PAR00162,2006,187,casse
PAR02138,2006,187,casse
PAR01123,2006,194,casse
PAR01994,2006,197,casse
PAR01038,2006,199,casse
PAR01474,2006,211,casse
PAR01080,2006,213,casse
PAR02218,2006,217,casse
PAR01916,2006,222,casse
PAR01238,2006,232,casse
PAR01563,2006,241,casse
PAR00646,2006,254,casse
PAR00687,2006,254,casse
PAR00437,2006,255,casse
PAR02324,2006,268,casse
PAR00779,2006,273,casse
PAR01669,2006,282,casse
PAR01501,2006,292,casse
PAR00595,2006,300,casse
PAR00869,2006,300,casse
PAR00154,2006,301,casse
PAR00752,2006,306,casse
PAR00194,2006,310,casse
PAR02279,2006,310,casse
PAR00870,2006,326,casse
PAR01003,2006,326,casse
PAR00038,2006,342,casse
PAR02051,2006,344,casse
PAR00579,2006,348,casse
PAR01983,2006,358,casse
PAR02047,2006,359,casse
PAR00398,2007,23,casse
PAR00134,2007,26,casse
PAR01190,2007,32,casse
PAR02187,2007,40,casse
PAR01380,2007,50,casse
PAR01728,2007,50,casse
PAR01922,2007,52,casse
PAR00932,2007,56,casse
PAR00863,2007,64,casse
