id_troncon,score_h1,score_h3,score_h5
PAR00000,0.06739,0.14333,0.2016
PAR00001,0.17511,0.35762,0.49002
PAR00002,0.03723,0.08054,0.11447
PAR00003,0.04854,0.10429,0.14757
PAR00004,0.07781,0.16466,0.23092
PAR00005,0.0095,0.02099,0.03025
PAR00006,0.01548,0.034,0.04882
PAR00007,0.10636,0.22237,0.30967
PAR00008,0.03108,0.0675,0.09618
PAR00009,0.06621,0.14091,0.19825
PAR00010,0.02242,0.04899,0.07009
PAR00011,0.02456,0.05359,0.0766
PAR00012,0.01324,0.02915,0.04192
PAR00013,0.18823,0.38288,0.52272
PAR00014,0.06551,0.13947,0.19627
PAR00015,0.03148,0.06836,0.09739
PAR00016,0.04451,0.09586,0.13585
PAR00017,0.0275,0.05988,0.08547
PAR00018,0.05668,0.12123,0.17107
PAR00019,0.11105,0.23175,0.3224
PAR00020,0.01075,0.02371,0.03415
PAR00021,0.05291,0.11339,0.16021
PAR00022,0.03526,0.07638,0.10864
PAR00023,0.01215,0.02677,0.03851
PAR00024,0.00988,0.0218,0.03141
PAR00025,0.10503,0.21971,0.30606
PAR00026,0.02287,0.04995,0.07145
PAR00027,0.01295,0.0285,0.04099
PAR00028,0.03666,0.07933,0.11277
PAR00029,0.01007,0.02221,0.03201
PAR00030,0.02352,0.05135,0.07343
PAR00031,0.01025,0.02262,0.03258
PAR00032,0.02059,0.04505,0.06452
PAR00033,0.02078,0.04546,0.06509
PAR00034,0.05419,0.11605,0.1639
PAR00035,0.01059,0.02336,0.03364
PAR00036,0.00713,0.01577,0.02276
PAR00037,0.01885,0.04131,0.05921
PAR00038,0.03208,0.06964,0.09918
PAR00039,0.04833,0.10384,0.14695
PAR00040,0.01047,0.0231,0.03327
PAR00041,0.01692,0.03712,0.05326
PAR00042,0.02232,0.04878,0.0698
PAR00043,0.05999,0.12808,0.18055
PAR00044,0.01076,0.02374,0.03419
PAR00045,0.10543,0.2205,0.30714
PAR00046,0.05094,0.1093,0.15453
PAR00047,0.1097,0.22906,0.31874
PAR00048,0.05538,0.11853,0.16733
PAR00049,0.05584,0.11949,0.16867
PAR00050,0.01796,0.03938,0.05647
PAR00051,0.0486,0.1044,0.14773
PAR00052,0.02675,0.05828,0.0832
PAR00053,0.03584,0.07759,0.11033
PAR00054,0.01722,0.03779,0.05421
PAR00055,0.06266,0.13359,0.18816
PAR00056,0.03733,0.08075,0.11475
PAR00057,0.01053,0.02322,0.03345
PAR00058,0.13028,0.26998,0.37395
PAR00059,0.04277,0.0922,0.13074
PAR00060,0.04699,0.10105,0.14307
PAR00061,0.01041,0.02297,0.03308
PAR00062,0.04105,0.0886,0.12572
PAR00063,0.06169,0.1316,0.18541
PAR00064,0.01584,0.03479,0.04995
PAR00065,0.01993,0.04364,0.06252
PAR00066,0.02797,0.06088,0.08686
PAR00067,0.00975,0.02151,0.031
PAR00068,0.03654,0.07909,0.11242
PAR00069,0.02031,0.04445,0.06366
PAR00070,0.0175,0.03839,0.05506
PAR00071,0.00843,0.01862,0.02686
PAR00072,0.00904,0.01996,0.02877
PAR00073,0.0138,0.03036,0.04364
PAR00074,0.06869,0.146,0.20527
PAR00075,0.01288,0.02836,0.04079
PAR00076,0.02007,0.04394,0.06294
PAR00077,0.0207,0.04529,0.06486
PAR00078,0.01673,0.03673,0.0527
PAR00079,0.00728,0.01611,0.02325
PAR00080,0.01706,0.03743,0.0537
PAR00081,0.01033,0.0228,0.03284
PAR00082,0.04381,0.0944,0.13381
PAR00083,0.0575,0.12293,0.17342
PAR00084,0.00792,0.01752,0.02528
PAR00085,0.04699,0.10105,0.14307
PAR00086,0.05736,0.12264,0.17303
PAR00087,0.01007,0.02223,0.03203
PAR00088,0.03935,0.08501,0.12071
PAR00089,0.00926,0.02045,0.02948
PAR00090,0.02218,0.04848,0.06937
PAR00091,0.08601,0.18134,0.25378
PAR00092,0.09605,0.20164,0.28148
PAR00093,0.04189,0.09035,0.12816
PAR00094,0.05935,0.12676,0.17873
PAR00095,0.01919,0.04204,0.06024
PAR00096,0.06385,0.13604,0.19154
PAR00097,0.02741,0.05968,0.08517
PAR00098,0.02115,0.04626,0.06622
PAR00099,0.0311,0.06755,0.09624
PAR00100,0.05796,0.12388,0.17474
PAR00101,0.05814,0.12424,0.17524
PAR00102,0.01132,0.02495,0.03592
PAR00103,0.18496,0.3766,0.51463
PAR00104,0.07674,0.16247,0.22792
PAR00105,0.02175,0.04755,0.06805
PAR00106,0.04762,0.10236,0.14489
PAR00107,0.11209,0.23384,0.32522
PAR00108,0.04264,0.09194,0.13038
PAR00109,0.01371,0.03017,0.04338
PAR00110,0.0208,0.04551,0.06517
PAR00111,0.05466,0.11704,0.16527
PAR00112,0.07785,0.16475,0.23104
PAR00113,0.04257,0.09179,0.13017
PAR00114,0.00914,0.02019,0.02911
PAR00115,0.00569,0.0126,0.0182
PAR00116,0.01498,0.03293,0.0473
PAR00117,0.01962,0.04296,0.06155
PAR00118,0.15927,0.32689,0.44974
PAR00119,0.01263,0.02781,0.04
PAR00120,0.01336,0.0294,0.04227
PAR00121,0.0421,0.09079,0.12878
PAR00122,0.00979,0.02161,0.03115
PAR00123,0.04009,0.08657,0.12288
PAR00124,0.05387,0.1154,0.163
PAR00125,0.0355,0.07689,0.10934
PAR00126,0.02036,0.04456,0.06382
PAR00127,0.02839,0.06177,0.08812
PAR00128,0.03104,0.06741,0.09605
PAR00129,0.00966,0.02133,0.03074
PAR00130,0.07197,0.15273,0.21453
PAR00131,0.05401,0.11567,0.16338
PAR00132,0.07512,0.15918,0.2234
PAR00133,0.15508,0.31873,0.43896
PAR00134,0.05245,0.11243,0.15888
PAR00135,0.02933,0.06377,0.09094
PAR00136,0.00761,0.01682,0.02428
PAR00137,0.02281,0.04982,0.07127
PAR00138,0.04956,0.10642,0.15053
PAR00139,0.04177,0.09011,0.12782
PAR00140,0.01443,0.03172,0.04558
PAR00141,0.0643,0.13697,0.19282
PAR00142,0.06919,0.14703,0.20669
PAR00143,0.01249,0.0275,0.03956
PAR00144,0.13406,0.27746,0.38398
PAR00145,0.01155,0.02545,0.03663
PAR00146,0.05333,0.11427,0.16143
PAR00147,0.01164,0.02566,0.03693
PAR00148,0.09695,0.20347,0.28397
PAR00149,0.02489,0.05429,0.07758
PAR00150,0.01073,0.02366,0.03407
PAR00151,0.01599,0.03512,0.05042
PAR00152,0.02337,0.05104,0.07298
PAR00153,0.05239,0.11232,0.15872
PAR00154,0.02965,0.06445,0.09189
PAR00155,0.01135,0.02501,0.03601
PAR00156,0.02476,0.05401,0.07719
PAR00157,0.05641,0.12066,0.17028
PAR00158,0.05732,0.12256,0.17291
PAR00159,0.03854,0.0833,0.11831
PAR00160,0.0476,0.10231,0.14483
PAR00161,0.0136,0.02992,0.04301
PAR00162,0.0947,0.19893,0.27778
PAR00163,0.05335,0.11432,0.1615
PAR00164,0.0066,0.01461,0.0211
PAR00165,0.04101,0.0885,0.12559
PAR00166,0.05136,0.11016,0.15573
PAR00167,0.02102,0.04597,0.06582
PAR00168,0.05613,0.12008,0.16948
PAR00169,0.05884,0.1257,0.17726
PAR00170,0.01291,0.02842,0.04087
PAR00171,0.08963,0.18867,0.2638
PAR00172,0.02678,0.05833,0.08328
PAR00173,0.04623,0.09946,0.14085
PAR00174,0.00979,0.02161,0.03114
PAR00175,0.05607,0.11996,0.16931
PAR00176,0.0697,0.14807,0.20812
PAR00177,0.02943,0.06399,0.09125
PAR00178,0.06548,0.13941,0.19619
PAR00179,0.00923,0.02039,0.02939
PAR00180,0.02448,0.05342,0.07635
PAR00181,0.01293,0.02846,0.04093
PAR00182,0.05587,0.11954,0.16874
PAR00183,0.07072,0.15017,0.21101
PAR00184,0.04153,0.08959,0.12711
PAR00185,0.05469,0.11709,0.16534
PAR00186,0.067,0.14254,0.2005
PAR00187,0.04655,0.10013,0.14179
PAR00188,0.01671,0.03668,0.05264
PAR00189,0.1218,0.25317,0.35134
PAR00190,0.04631,0.09964,0.1411
PAR00191,0.02785,0.06063,0.08651
PAR00192,0.03411,0.07393,0.10521
PAR00193,0.03013,0.06548,0.09335
PAR00194,0.0334,0.07244,0.10311
PAR00195,0.03692,0.07989,0.11355
PAR00196,0.03815,0.08247,0.11716
PAR00197,0.00847,0.01871,0.02698
PAR00198,0.00675,0.01494,0.02157
PAR00199,0.00985,0.02173,0.03132
PAR00200,0.00353,0.00784,0.01135
PAR00201,0.03851,0.08324,0.11823
PAR00202,0.00852,0.01883,0.02716
PAR00203,0.01699,0.03729,0.0535
PAR00204,0.08703,0.18342,0.25662
PAR00205,0.01384,0.03045,0.04377
PAR00206,0.05559,0.11897,0.16795
PAR00207,0.01482,0.03258,0.04681
PAR00208,0.05854,0.12507,0.17638
PAR00209,0.08903,0.18747,0.26215
PAR00210,0.09932,0.20823,0.29046
PAR00211,0.06184,0.1319,0.18582
PAR00212,0.03511,0.07606,0.10819
PAR00213,0.01608,0.03532,0.0507
PAR00214,0.01881,0.04122,0.05909
PAR00215,0.01223,0.02694,0.03876
PAR00216,0.02091,0.04576,0.06551
PAR00217,0.07156,0.15189,0.21337
PAR00218,0.0498,0.10692,0.15122
PAR00219,0.06339,0.13511,0.19025
PAR00220,0.01472,0.03236,0.04648
PAR00221,0.00668,0.01478,0.02134
PAR00222,0.0553,0.11837,0.16711
PAR00223,0.03461,0.075,0.1067
PAR00224,0.00647,0.01433,0.0207
PAR00225,0.01346,0.02963,0.0426
PAR00226,0.05409,0.11584,0.1636
PAR00227,0.00644,0.01426,0.0206
