id,materiau_famille,materiau,diametre,longueur,annee_pose,x1,y1,x2,y2
PAR00000,Plastique,PVC collé,40,117.9,1960,-1829.8,-2643.9,-1761.2,-2548.1
PAR00001,Fonte,Fonte grise,50,145.2,1930,-1889.9,-2465.5,-1952.7,-2334.6
PAR00002,Fonte,Fonte grise,200,119.7,1943,-1952.7,-2334.6,-1833.1,-2339.7
PAR00003,Fonte,Fonte grise,32,96.5,1975,-1952.7,-2334.6,-1908.0,-2249.1
PAR00004,Plastique,PVC collé,250,171.2,1960,-2000.9,-2144.3,-2001.1,-1973.2
PAR00005,Ciment,Amiante-ciment,80,64.5,1980,-2001.1,-1973.2,-1943.1,-1944.8
PAR00006,Fonte,Fonte ductile,80,131.7,1982,-2001.1,-1973.2,-2071.4,-1861.8
PAR00007,Fonte,Fonte grise,125,118.9,1943,-2071.4,-1861.8,-1958.8,-1823.5
PAR00008,Plastique,PVC collé,250,84.7,1960,-2071.4,-1861.8,-2099.5,-1781.9
PAR00009,Fonte,Fonte grise,150,143.0,1953,-2099.5,-1781.9,-1988.3,-1692.1
PAR00010,Plastique,PEHD,125,175.7,1995,-2099.5,-1781.9,-2123.0,-1607.8
PAR00011,Fonte,Fonte ductile,150,95.0,1970,-2123.0,-1607.8,-2028.2,-1601.1
PAR00012,Fonte,Fonte ductile,80,105.5,1984,-2123.0,-1607.8,-2177.4,-1517.4
PAR00013,Fonte,Fonte grise,40,168.7,1937,-2177.4,-1517.4,-2018.8,-1460.2
PAR00014,Plastique,PVC collé,500,119.0,1960,-2177.4,-1517.4,-2139.7,-1404.6
PAR00015,Fonte,Fonte ductile,50,79.2,1970,-2139.7,-1404.6,-2067.3,-1372.5
PAR00016,Fonte,Fonte ductile,80,185.6,1970,-2139.7,-1404.6,-2232.1,-1243.6
PAR00017,Fonte,Fonte ductile,40,120.6,1970,-2232.1,-1243.6,-2113.0,-1224.8
PAR00018,Plastique,PVC collé,50,110.6,1960,-2232.1,-1243.6,-2237.7,-1133.2
PAR00019,Ciment,Amiante-ciment,400,134.9,1955,-2237.7,-1133.2,-2102.8,-1134.0
PAR00020,Fonte,Fonte ductile,80,127.5,1989,-2237.7,-1133.2,-2291.3,-1017.5
PAR00021,Plastique,PVC collé,100,132.4,1960,-2291.3,-1017.5,-2169.2,-966.4
PAR00022,Fonte,Fonte ductile,40,95.3,1970,-2291.3,-1017.5,-2293.8,-922.2
PAR00023,Plastique,PEHD,63,136.1,1995,-2293.8,-922.2,-2307.7,-786.9
PAR00024,Plastique,PEHD,250,113.8,1995,-2307.7,-786.9,-2220.9,-713.4
PAR00025,Fonte,Fonte grise,400,200.5,1930,-2307.7,-786.9,-2376.7,-598.6
PAR00026,Fonte,Fonte ductile,300,105.6,1970,-2376.7,-598.6,-2375.2,-493.0
PAR00027,Plastique,PVC,100,91.3,1980,-2375.2,-493.0,-2284.7,-505.3
PAR00028,Ciment,Amiante-ciment,600,146.5,1966,-2375.2,-493.0,-2435.7,-359.6
PAR00029,Plastique,PVC collé,600,121.9,1977,-2511.2,-276.8,-2395.7,-237.8
PAR00030,Plastique,PVC,50,174.0,1980,-2511.2,-276.8,-2541.6,-105.4
PAR00031,Plastique,PEHD,150,84.4,2001,-2541.6,-105.4,-2514.1,-25.6
PAR00032,Fonte,Fonte ductile,250,83.3,1971,-2514.1,-25.6,-2464.4,41.3
PAR00033,Fonte,Fonte ductile,200,157.9,1981,-2603.8,70.6,-2469.0,152.8
PAR00034,Fonte,Fonte ductile,100,187.2,1970,-2603.8,70.6,-2601.9,257.7
PAR00035,Plastique,PVC collé,250,103.3,1981,-2601.9,257.7,-2503.0,227.8
PAR00036,Fonte,Fonte ductile,200,71.1,2000,-2601.9,257.7,-2645.3,314.0
PAR00037,Plastique,PVC,250,139.4,1980,-2645.3,314.0,-2514.8,362.8
PAR00038,Fonte,Fonte ductile,125,159.1,1974,-2645.3,314.0,-2666.6,471.6
PAR00039,Fonte,Fonte ductile,63,115.3,1970,-2666.6,471.6,-2558.6,511.8
PAR00040,Plastique,PEHD,100,141.1,1995,-2666.6,471.6,-2677.9,612.3
