id_troncon,score_h1,score_h3,score_h5
SYN000000,0.0,0.00416,0.00416
SYN000001,0.01791,0.03462,0.03911
SYN000002,0.00416,0.00722,0.01791
SYN000003,0.0,0.0,0.00416
SYN000004,0.04651,0.08418,0.2
SYN000005,0.00722,0.03462,0.03462
SYN000006,0.01791,0.03462,0.03911
SYN000007,0.00416,0.00416,0.00722
SYN000008,0.03462,0.03911,0.08418
SYN000009,0.01791,0.03462,0.03462
SYN000010,0.00722,0.03462,0.03462
SYN000011,0.00416,0.01791,0.02174
SYN000012,0.03462,0.04651,0.08418
SYN000013,0.00416,0.01791,0.03462
SYN000014,0.01791,0.03462,0.03911
SYN000015,0.01791,0.03462,0.03462
SYN000016,0.00416,0.00722,0.01791
SYN000017,0.03462,0.08418,0.08418
SYN000018,0.0,0.00416,0.00416
SYN000019,0.08418,0.2,0.21667
SYN000020,0.00722,0.03462,0.03462
SYN000021,0.00416,0.00722,0.01791
SYN000022,0.03462,0.04651,0.08418
SYN000023,0.02174,0.03911,0.04651
SYN000024,0.03462,0.03911,0.08418
SYN000025,0.01791,0.03462,0.04167
SYN000026,0.03462,0.04651,0.08418
SYN000027,0.2,0.5,0.75
SYN000028,0.03462,0.0593,0.08418
SYN000029,0.00416,0.00722,0.01791
SYN000030,0.04651,0.08418,0.21667
SYN000031,0.08418,0.08418,0.21667
SYN000032,0.0,0.00416,0.00416
SYN000033,0.03462,0.04651,0.08418
SYN000034,0.00416,0.00722,0.01791
SYN000035,0.03911,0.08418,0.08418
SYN000036,0.04651,0.08418,0.21461
SYN000037,0.00722,0.02174,0.03462
SYN000038,0.00416,0.01791,0.02174
SYN000039,0.04167,0.08418,0.2
SYN000040,0.00722,0.03462,0.03462
SYN000041,0.03462,0.04167,0.08418
SYN000042,0.00722,0.03462,0.03462
SYN000043,0.00416,0.00722,0.01791
SYN000044,0.01791,0.03462,0.03911
SYN000045,0.00416,0.00416,0.00722
SYN000046,0.00416,0.01791,0.02174
SYN000047,0.00416,0.01791,0.01791
SYN000048,0.0,0.00416,0.00416
SYN000049,0.03911,0.08418,0.08418
SYN000050,0.03462,0.08418,0.08418
SYN000051,0.08418,0.21667,0.21667
SYN000052,0.00416,0.00722,0.00722
SYN000053,0.01791,0.03462,0.03462
SYN000054,0.00416,0.00722,0.01791
SYN000055,0.00416,0.00722,0.01791
SYN000056,0.02174,0.03462,0.04651
SYN000057,0.08418,0.2,0.21667
SYN000058,0.2,0.5,0.75
SYN000059,0.03911,0.08418,0.08418
SYN000060,0.03911,0.08418,0.08418
SYN000061,0.00722,0.03462,0.03462
SYN000062,0.00416,0.01791,0.02174
SYN000063,0.00722,0.02174,0.03462
SYN000064,0.02174,0.03462,0.04651
SYN000065,0.01791,0.03462,0.04167
SYN000066,0.04651,0.08418,0.21667
SYN000067,0.00722,0.02424,0.03462
SYN000068,0.08418,0.08418,0.21667
SYN000069,0.0,0.00416,0.00416
SYN000070,0.00722,0.03462,0.03462
SYN000071,0.01791,0.03462,0.03462
SYN000072,0.00416,0.00722,0.01791
SYN000073,0.00722,0.03462,0.03462
SYN000074,0.00416,0.01791,0.01791
SYN000075,0.00416,0.01791,0.03462
SYN000076,0.00722,0.02174,0.03462
SYN000077,0.01791,0.03462,0.04651
SYN000078,0.00722,0.03462,0.03462
SYN000079,0.02174,0.03911,0.04651
SYN000080,0.00722,0.02174,0.03462
SYN000081,0.00722,0.03462,0.03462
SYN000082,0.00416,0.00416,0.00722
SYN000083,0.03462,0.03911,0.04651
SYN000084,0.00722,0.02174,0.03462
SYN000085,0.00722,0.03462,0.03462
SYN000086,0.00416,0.00416,0.00416
SYN000087,0.0,0.00416,0.00416
SYN000088,0.00722,0.02174,0.03462
SYN000089,0.01791,0.03462,0.03911
SYN000090,0.04651,0.08418,0.2
SYN000091,0.0,0.00416,0.00416
SYN000092,0.01791,0.03462,0.03911
SYN000093,0.00722,0.02174,0.03462
SYN000094,0.03462,0.04651,0.08418
SYN000095,0.01791,0.03462,0.04651
SYN000096,0.00722,0.02174,0.03462
SYN000097,0.03911,0.08418,0.08418
SYN000098,0.03911,0.08418,0.08418
SYN000099,0.03462,0.08418,0.08418
SYN000100,0.00416,0.00722,0.01791
SYN000101,0.00722,0.03462,0.03462
SYN000102,0.00722,0.02174,0.03462
SYN000103,0.03462,0.04651,0.08418
SYN000104,0.00416,0.00416,0.00722
SYN000105,0.00416,0.01791,0.02174
SYN000106,0.03462,0.0625,0.08418
SYN000107,0.00722,0.02174,0.03462
SYN000108,0.01791,0.03462,0.03911
SYN000109,0.00416,0.01791,0.02174
SYN000110,0.03462,0.04651,0.08418
SYN000111,0.03462,0.04651,0.08418
SYN000112,0.02174,0.03911,0.04651
SYN000113,0.03462,0.08418,0.08418
SYN000114,0.03462,0.03911,0.0625
SYN000115,0.00416,0.00416,0.00722
SYN000116,0.00416,0.00722,0.01791
SYN000117,0.00416,0.01791,0.02174
SYN000118,0.0,0.00416,0.00416
SYN000119,0.03462,0.04651,0.08418
SYN000120,0.03462,0.08418,0.08418
SYN000121,0.02174,0.03911,0.04651
SYN000122,0.00722,0.03462,0.03462
SYN000123,0.00722,0.02174,0.03462
SYN000124,0.03462,0.04651,0.08418
SYN000125,0.00722,0.03462,0.03462
SYN000126,0.00416,0.00416,0.00722
SYN000127,0.03462,0.0625,0.08418
SYN000128,0.08418,0.08418,0.21667
SYN000129,0.03462,0.04167,0.08418
SYN000130,0.08418,0.21667,0.21667
SYN000131,0.00416,0.01791,0.03462
SYN000132,0.03462,0.08418,0.08418
SYN000133,0.03911,0.08418,0.08418
SYN000134,0.01791,0.03462,0.03911
SYN000135,0.03911,0.08418,0.08418
SYN000136,0.00416,0.01791,0.03462
SYN000137,0.0,0.00416,0.00416
SYN000138,0.00416,0.01791,0.03462
SYN000139,0.03462,0.0625,0.08418
SYN000140,0.00722,0.03462,0.03462
SYN000141,0.00722,0.03462,0.03462
SYN000142,0.02174,0.03911,0.04651
SYN000143,0.03462,0.03911,0.04651
SYN000144,0.00416,0.01791,0.03462
SYN000145,0.00416,0.01791,0.02174
SYN000146,0.00416,0.00416,0.00416
SYN000147,0.03462,0.0625,0.08418
SYN000148,0.01791,0.03462,0.03462
SYN000149,0.03911,0.08418,0.08418
SYN000150,0.02174,0.03911,0.04651
SYN000151,0.01791,0.03462,0.03911
SYN000152,0.08418,0.08418,0.21667
SYN000153,0.03462,0.04651,0.08418
SYN000154,0.03911,0.08418,0.08418
SYN000155,0.00416,0.00722,0.01791
SYN000156,0.00416,0.01791,0.02174
SYN000157,0.02174,0.03462,0.04651
SYN000158,0.00416,0.00416,0.00722
SYN000159,0.00722,0.02174,0.03462
SYN000160,0.03911,0.08418,0.08418
SYN000161,0.00416,0.01791,0.02174
SYN000162,0.0,0.00416,0.00416
SYN000163,0.03462,0.08418,0.08418
SYN000164,0.01791,0.03462,0.03911
SYN000165,0.02174,0.03911,0.04651
SYN000166,0.0,0.0,0.00016
SYN000167,0.00416,0.00416,0.00416
SYN000168,0.02174,0.03462,0.04651
SYN000169,0.02174,0.03911,0.04651
SYN000170,0.00722,0.03462,0.03462
SYN000171,0.00416,0.01791,0.03462
SYN000172,0.00416,0.01791,0.03462
SYN000173,0.03462,0.04651,0.08418
SYN000174,0.00416,0.01791,0.03462
SYN000175,0.01791,0.03462,0.04167
SYN000176,0.00416,0.00416,0.00722
SYN000177,0.01791,0.03462,0.03911
SYN000178,0.0,0.00416,0.00416
SYN000179,0.00416,0.00722,0.01791
SYN000180,0.0,0.0,0.00416
SYN000181,0.00416,0.00722,0.01791
SYN000182,0.00722,0.02174,0.03462
SYN000183,0.00416,0.00416,0.00416
SYN000184,0.00416,0.01791,0.02174
SYN000185,0.02174,0.03911,0.04651
SYN000186,0.00416,0.01791,0.03462
SYN000187,0.03462,0.08418,0.08418
SYN000188,0.03462,0.04167,0.08418
SYN000189,0.00416,0.01791,0.02174
SYN000190,0.00416,0.00416,0.00722
SYN000191,0.03462,0.03911,0.04651
SYN000192,0.03462,0.03911,0.04651
SYN000193,0.00416,0.00416,0.00722
SYN000194,0.08418,0.21667,0.21667
SYN000195,0.04651,0.08418,0.2
SYN000196,0.03462,0.04651,0.08418
SYN000197,0.00416,0.00416,0.00722
SYN000198,0.03911,0.08418,0.08418
SYN000199,0.00416,0.01791,0.02174
SYN000200,0.0,0.00416,0.00416
SYN000201,0.00416,0.00722,0.01791
SYN000202,0.02174,0.03911,0.04651
SYN000203,0.04651,0.08418,0.2
SYN000204,0.04651,0.08418,0.2
SYN000205,0.00722,0.02174,0.03462
SYN000206,0.03911,0.08418,0.08418
SYN000207,0.00416,0.00722,0.01791
SYN000208,0.03462,0.04651,0.08418
SYN000209,0.01791,0.03462,0.03462
SYN000210,0.0,0.0,0.00416
SYN000211,0.01791,0.03462,0.03462
SYN000212,0.03462,0.08418,0.08418
SYN000213,0.00416,0.01791,0.03462
SYN000214,0.0,0.00416,0.00416
SYN000215,0.00416,0.01791,0.01791
SYN000216,0.03462,0.03911,0.0625
SYN000217,0.00722,0.03462,0.03462
SYN000218,0.03911,0.08418,0.08418
SYN000219,0.00416,0.00722,0.00722
SYN000220,0.0,0.00416,0.00416
SYN000221,0.00416,0.01791,0.03462
SYN000222,0.00722,0.03462,0.03462
SYN000223,0.03462,0.03911,0.08418
SYN000224,0.00416,0.00416,0.00416
SYN000225,0.00416,0.00722,0.01791
SYN000226,0.08418,0.2,0.21667
SYN000227,0.03462,0.08418,0.08418
SYN000228,0.00722,0.02174,0.03462
SYN000229,0.03911,0.08418,0.08418
SYN000230,0.08418,0.2,0.21667
SYN000231,0.00416,0.00416,0.00722
SYN000232,0.01791,0.03462,0.03911
SYN000233,0.03462,0.03911,0.08418
SYN000234,0.03911,0.08418,0.08418
SYN000235,0.02174,0.03911,0.04651
SYN000236,0.00722,0.03462,0.03462
SYN000237,0.0,0.00416,0.00416
SYN000238,0.00722,0.03462,0.03462
SYN000239,0.08418,0.2,0.21667
SYN000240,0.0,0.00416,0.00416
SYN000241,0.00722,0.03462,0.03462
SYN000242,0.02174,0.03911,0.04651
SYN000243,0.03462,0.08418,0.08418
SYN000244,0.03911,0.08418,0.08418
SYN000245,0.0,0.00416,0.00416
SYN000246,0.01791,0.03462,0.04397
SYN000247,0.00416,0.00722,0.00722
SYN000248,0.00416,0.00416,0.00416
SYN000249,0.00416,0.00416,0.00722
SYN000250,0.01791,0.03462,0.03911
SYN000251,0.00416,0.00416,0.00722
SYN000252,0.01791,0.03462,0.03911
SYN000253,0.00416,0.00416,0.00722
SYN000254,0.03462,0.03911,0.0625
SYN000255,0.00722,0.02174,0.03462
SYN000256,0.0,0.00416,0.00416
SYN000257,0.03911,0.08418,0.08418
SYN000258,0.00416,0.01791,0.02174
SYN000259,0.03462,0.04167,0.08418
SYN000260,0.04167,0.08418,0.08418
SYN000261,0.00416,0.00722,0.01791
SYN000262,0.0,0.0,0.0
SYN000263,0.08418,0.21667,0.5
SYN000264,0.02174,0.03911,0.04651
SYN000265,0.03462,0.03911,0.04651
SYN000266,0.0,0.00416,0.00416
SYN000267,0.04651,0.08418,0.21667
SYN000268,0.01791,0.03462,0.03462
SYN000269,0.03462,0.0625,0.08418
SYN000270,0.04651,0.08418,0.2
SYN000271,0.04167,0.08418,0.2
SYN000272,0.01791,0.03462,0.03911
SYN000273,0.03911,0.08418,0.08418
SYN000274,0.00416,0.00416,0.00722
SYN000275,0.01791,0.03462,0.03911
SYN000276,0.00416,0.01791,0.03462
SYN000277,0.01791,0.03462,0.03911
SYN000278,0.0,0.00416,0.00416
SYN000279,0.00416,0.00416,0.00722
SYN000280,0.03462,0.08418,0.08418
SYN000281,0.03462,0.08418,0.08418
SYN000282,0.00416,0.00416,0.00722
SYN000283,0.0,0.0,0.00416
SYN000284,0.00722,0.02174,0.03462
SYN000285,0.01791,0.03462,0.04651
SYN000286,0.03462,0.08418,0.08418
SYN000287,0.01791,0.03462,0.03911
SYN000288,0.04651,0.08418,0.2
SYN000289,0.04651,0.08418,0.21132
SYN000290,0.0,0.00416,0.00416
SYN000291,0.03462,0.08418,0.08418
SYN000292,0.00722,0.03462,0.03462
SYN000293,0.03462,0.08418,0.08418
SYN000294,0.01791,0.03462,0.03462
SYN000295,0.00722,0.02174,0.03462
SYN000296,0.03911,0.08418,0.08418
SYN000297,0.01791,0.03462,0.03911
SYN000298,0.0,0.00416,0.00416
SYN000299,0.01791,0.03462,0.03911
SYN000300,0.00722,0.03462,0.03462
SYN000301,0.03911,0.08418,0.08418
SYN000302,0.03462,0.04651,0.08418
SYN000303,0.0,0.00416,0.00416
SYN000304,0.0,0.00416,0.00416
SYN000305,0.03462,0.04167,0.08418
SYN000306,0.0,0.0,0.00416
SYN000307,0.03911,0.08418,0.08418
SYN000308,0.00416,0.01791,0.02174
SYN000309,0.00722,0.03462,0.03462
SYN000310,0.01791,0.03462,0.03911
SYN000311,0.00416,0.00416,0.00416
SYN000312,0.01791,0.03462,0.03911
SYN000313,0.00722,0.03462,0.03462
SYN000314,0.01791,0.03462,0.03911
SYN000315,0.00416,0.00416,0.00722
SYN000316,0.02174,0.03462,0.04651
SYN000317,0.00416,0.00722,0.01791
SYN000318,0.00722,0.03462,0.03462
SYN000319,0.01791,0.03462,0.04167
SYN000320,0.00416,0.01791,0.02174
SYN000321,0.0,0.00416,0.00416
SYN000322,0.00416,0.00722,0.01791
SYN000323,0.02174,0.03911,0.04651
SYN000324,0.00416,0.00416,0.00722
SYN000325,0.02174,0.03911,0.04651
SYN000326,0.00416,0.00416,0.00722
SYN000327,0.04651,0.08418,0.2
SYN000328,0.03911,0.08418,0.08418
SYN000329,0.00416,0.00722,0.01791
SYN000330,0.0,0.00416,0.00416
SYN000331,0.03911,0.08418,0.08418
