id,materiau_famille,materiau,diametre,longueur,annee_pose,x1,y1,x2,y2
SYN000000,Plastique,PVC,200,6.1,2005,0.0,0.0,-0.2,-6.1
SYN000001,Fonte,Fonte ductile,200,203.2,1988,-0.2,-6.1,178.2,91.2
SYN000002,Plastique,PEHD,200,76.6,2009,-1656.5,3114.4,-1676.1,3040.3
SYN000003,Plastique,PVC,100,7.3,1997,-3267.5,-1390.7,-3274.7,-1389.5
SYN000004,Fonte,Fonte grise,40,63.3,1938,-3274.7,-1389.5,-3234.5,-1438.4
SYN000005,Ciment,Amiante-ciment,125,30.3,1971,-3234.5,-1438.4,-3235.2,-1408.1
SYN000006,Plastique,PVC,250,277.3,1986,-3235.2,-1408.1,-2958.1,-1399.4
SYN000007,Plastique,PVC,150,34.2,2003,-2958.1,-1399.4,-2954.9,-1433.5
SYN000008,Fonte,Fonte grise,500,29.2,1947,-2954.9,-1433.5,-2973.1,-1456.2
SYN000009,Fonte,Fonte ductile,80,67.2,1992,-2010.6,3092.5,-2061.1,3048.1
SYN000010,Fonte,Fonte ductile,150,194.2,1991,-2061.1,3048.1,-2085.3,3240.8
SYN000011,Acier,Acier,125,52.1,1982,-2085.3,3240.8,-2121.9,3277.9
SYN000012,Plastique,PVC collé,125,352.4,1983,-2121.9,3277.9,-2456.0,3390.1
SYN000013,Plastique,PEHD,250,263.2,2010,-2456.0,3390.1,-2276.9,3197.2
SYN000014,Fonte,Fonte ductile,150,98.7,1974,-1300.1,887.7,-1225.6,952.4
SYN000015,Fonte,Fonte ductile,200,120.3,1983,-1225.6,952.4,-1192.2,1068.0
SYN000016,Plastique,PVC collé,500,10.6,1979,-1192.2,1068.0,-1181.9,1065.7
SYN000017,Fonte,Fonte grise,32,47.6,1971,-1181.9,1065.7,-1184.2,1113.2
SYN000018,Plastique,PEHD,250,27.9,2023,-1184.2,1113.2,-1182.3,1085.4
SYN000019,Plastique,PVC collé,200,72.7,1961,-1182.3,1085.4,-1154.1,1152.4
SYN000020,Plastique,PVC,200,149.6,1995,-1585.7,-1958.5,-1686.4,-2069.1
SYN000021,Fonte,Fonte ductile,200,40.5,2005,-1686.4,-2069.1,-1665.1,-2034.6
SYN000022,Ciment,Amiante-ciment,100,121.1,1975,-1665.1,-2034.6,-1622.7,-1921.2
SYN000023,Plastique,PEHD,80,22.0,2002,-1622.7,-1921.2,-1642.4,-1911.4
SYN000024,Plastique,PVC,200,394.4,1991,-3213.5,-3656.3,-2843.9,-3518.5
SYN000025,Fonte,Fonte grise,300,27.8,1957,-987.7,-1573.3,-974.8,-1597.9
SYN000026,Fonte,Fonte ductile,200,150.5,1971,-974.8,-1597.9,-913.9,-1460.2
SYN000027,Fonte,Fonte grise,150,126.3,1937,-913.9,-1460.2,-864.6,-1344.0
SYN000028,Fonte,Fonte grise,32,37.5,1932,-864.6,-1344.0,-878.9,-1309.3
SYN000029,Plastique,PVC,200,32.1,1982,3714.9,-2859.4,3741.3,-2841.2
SYN000030,Plastique,PVC,80,158.0,2002,3741.3,-2841.2,3667.0,-2980.6
SYN000031,Acier,Acier,80,126.7,1963,3876.7,1424.1,4003.3,1427.6
SYN000032,Fonte,Fonte ductile,250,19.4,1998,4003.3,1427.6,4012.3,1444.8
SYN000033,Fonte,Fonte ductile,80,101.9,2015,4012.3,1444.8,4075.6,1524.6
SYN000034,Fonte,Fonte ductile,32,28.2,1983,4075.6,1524.6,4066.9,1497.8
SYN000035,Fonte,Fonte grise,125,84.5,1964,4066.9,1497.8,4114.7,1567.5
SYN000036,Fonte,Fonte grise,250,93.2,1967,2092.1,3381.9,2011.3,3428.5
SYN000037,Fonte,Fonte ductile,32,22.2,1980,2011.3,3428.5,1998.1,3446.3
SYN000038,Fonte,Fonte ductile,80,29.0,2000,2325.2,721.7,2354.1,724.1
SYN000039,Plastique,PVC collé,100,106.5,1961,2354.1,724.1,2360.7,617.8
SYN000040,Fonte,Fonte ductile,80,26.4,1978,2360.7,617.8,2369.7,642.6
SYN000041,Plastique,PEHD,125,462.9,2005,2369.7,642.6,1909.9,589.5
SYN000042,Plastique,PVC,32,84.5,2001,1909.9,589.5,1891.5,672.0
SYN000043,Fonte,Fonte ductile,100,27.1,2002,1891.5,672.0,1915.2,658.8
SYN000044,Plastique,PEHD,80,94.7,1998,1915.2,658.8,1945.5,569.1
SYN000045,Plastique,PEHD,150,90.2,2010,-219.4,3770.9,-131.7,3791.8
SYN000046,Fonte,Fonte ductile,50,18.3,1982,-3188.5,-1530.0,-3194.6,-1547.3
SYN000047,Fonte,Fonte ductile,125,17.5,1970,-3194.6,-1547.3,-3188.0,-1531.1
SYN000048,Plastique,PVC,250,46.3,2018,3612.3,-2878.6,3600.8,-2923.4
SYN000049,Fonte,Fonte grise,150,77.0,1949,2558.5,-132.3,2519.1,-198.4
SYN000050,Fonte,Fonte grise,40,35.2,1931,2519.1,-198.4,2496.5,-225.4
SYN000051,Fonte,Fonte grise,40,123.2,1936,2496.5,-225.4,2422.4,-127.0
SYN000052,Plastique,PVC,400,58.5,1989,632.2,-67.5,573.7,-66.4
SYN000053,Plastique,PVC collé,300,26.3,1963,573.7,-66.4,572.7,-40.1
SYN000054,Plastique,PVC,32,182.7,2017,1749.5,-3621.1,1914.1,-3541.7
