GID,alea_argile
410966779,fort
410966789,fort
410000670,fort
410000672,fort
410967885,nul
410000677,fort
410000678,fort
410000679,fort
410000690,fort
410000695,fort
410000698,fort
410001234,fort
410001235,fort
410001236,fort
410001237,fort
410001238,fort
410001239,fort
410001240,fort
410001245,fort
410001246,fort
410001249,fort
410001252,fort
410001256,fort
410001258,fort
410001259,fort
410001261,fort
410001262,fort
410001264,fort
410001265,fort
410000195,fort
410000197,fort
410000198,fort
410000200,fort
410000201,fort
410000203,fort
410000204,fort
410000205,fort
410000206,fort
410000207,fort
410000209,fort
410000210,fort
410000212,fort
410000213,fort
410000214,fort
410000702,fort
410000703,fort
410000704,fort
410000705,fort
410000706,fort
410000708,fort
410000714,fort
410000716,fort
410000717,fort
410000719,fort
410000721,fort
410000731,fort
410000733,fort
410000751,fort
410000760,fort
410902105,fort
410902106,fort
410902107,fort
410001270,fort
410001272,fort
410001274,fort
410001276,fort
410001277,fort
410001278,fort
410001279,fort
410001281,fort
410001283,fort
410001284,nul
410001290,fort
410001291,nul
410001292,fort
410000215,fort
410000217,fort
410000218,fort
410000219,fort
410000220,fort
410000224,fort
410000225,fort
410000226,fort
410000227,fort
410000228,fort
410000229,fort
410000230,fort
410000231,fort
410000232,fort
410000233,fort
410000235,fort
410000236,fort
410000764,fort
410000769,fort
410000773,fort
410000777,fort
410000778,fort
410000786,fort
410000788,fort
410000789,fort
410000791,fort
410000792,fort
410000799,fort
410000801,fort
410000804,fort
410000805,fort
410000807,fort
410000810,fort
410000811,fort
410001293,fort
410001294,fort
410001295,fort
410001296,fort
410001297,fort
410001298,fort
410001299,fort
410840776,fort
410001301,fort
410001303,fort
410001304,fort
410001305,fort
410840777,nul
410001312,fort
410000237,fort
410000238,fort
410000239,fort
410000243,fort
410000244,fort
410000246,fort
410000248,fort
410000250,fort
410000251,fort
410000252,fort
410000253,fort
410000254,fort
410000260,fort
410000262,fort
410000263,fort
410000266,fort
410000267,fort
410000813,fort
410000818,fort
410000821,fort
410000826,fort
410000831,fort
410809118,moyen
410931528,fort
410000838,fort
410000842,fort
410000855,fort
410000856,fort
410000859,fort
410000861,fort
410000864,fort
410000865,fort
410001313,fort
410001314,fort
410001315,fort
410001316,fort
410001317,fort
410001327,fort
410001328,fort
410001334,fort
410001335,fort
410001336,fort
410001337,fort
410001338,fort
410001339,fort
410001342,fort
410001343,fort
410000273,fort
410000274,fort
410000275,fort
410000279,fort
410000280,fort
410000281,fort
410000282,fort
410000284,fort
410000285,fort
410000286,fort
410000289,fort
410000290,fort
410000296,fort
410000297,fort
410000302,fort
410000303,fort
410809119,moyen
410000881,fort
410000891,fort
410000894,fort
410000900,fort
410000903,fort
410000907,fort
410000909,fort
410000911,fort
410000913,fort
410000914,fort
410000915,fort
410000918,fort
410001344,fort
410001345,fort
410001348,fort
410001349,fort
410001350,fort
410001351,fort
410001352,fort
410001353,fort
410001355,fort
410001358,fort
410001359,fort
410001360,fort
410001361,fort
410001362,fort
410001368,fort
410001369,fort
410001370,fort
410000304,fort
410000305,fort
410000307,fort
410000309,fort
410000311,fort
410000317,fort
410000318,fort
410000319,fort
410000320,fort
410000321,fort
410000322,fort
410000323,fort
410000327,fort
410000329,fort
410000330,fort
410000334,fort
410000335,fort
410000921,fort
410000925,fort
410000926,fort
410000927,fort
410000928,fort
410000929,fort
410000930,fort
410000931,fort
410000933,fort
410000935,fort
410000938,fort
410000943,fort
410000945,fort
410000946,fort
410000947,fort
410850875,fort
410001372,fort
410001374,fort
410001377,fort
410001379,fort
410001381,fort
410001382,fort
410001384,fort
410001385,fort
410001386,fort
410001387,fort
410001389,fort
410001391,fort
410000337,fort
410000341,fort
410000346,fort
410000348,fort
410000350,fort
410000351,fort
410000352,fort
410000354,fort
410000355,fort
410000357,fort
410000359,fort
410000360,fort
410000363,fort
410000367,fort
410000369,fort
410000948,fort
410000949,fort
410000950,fort
410000951,fort
410810774,fort
410000953,fort
410000955,fort
410000956,fort
410000958,fort
410000959,fort
410000961,fort
410000962,fort
410000968,fort
410000971,fort
410000975,moyen
410000976,fort
410000977,fort
410001394,fort
410001395,fort
410001396,fort
410001397,fort
410001398,fort
410001399,fort
410001400,fort
410001401,fort
410001402,fort
410001404,fort
410001405,fort
410001407,fort
410001408,fort
410001409,fort
410001410,fort
410001411,fort
410001412,fort
410001413,fort
410000370,fort
410000371,fort
410000372,fort
410000374,fort
410000375,fort
410000378,fort
410000379,fort
410000382,fort
410000384,fort
410000385,fort
410000386,fort
410000387,fort
410000389,fort
410000391,fort
410000392,fort
410000393,fort
410000394,fort
410000978,fort
410000980,fort
410000983,fort
410000984,fort
410000985,fort
410000987,fort
410000991,fort
410000992,fort
410000993,fort
410000998,fort
410000999,fort
410001000,fort
410001001,fort
410001003,fort
410001004,fort
410001005,fort
410001006,fort
410001007,fort
410001393,fort
410001414,fort
410001415,fort
410001416,fort
410001419,fort
410001420,fort
410001421,fort
410001422,fort
410001423,fort
410001424,fort
410001425,fort
410001426,fort
410001427,fort
410001428,fort
410001429,fort
410001430,fort
410001431,fort
410000398,fort
410000399,fort
410000400,fort
410000401,fort
410000404,fort
410000405,fort
410000406,fort
410000407,fort
410000408,fort
410000409,fort
410000412,fort
410000415,fort
410000416,fort
410000418,fort
410000420,fort
410000421,fort
410000422,fort
410001008,fort
410955415,fort
410001010,fort
410967586,fort
410001012,fort
410955465,fort
410001014,fort
410001015,fort
410001018,fort
410955466,fort
410001022,fort
410001023,fort
410001024,fort
410001026,fort
410001035,fort
410001036,fort
410000008,fort
410000010,fort
410000003,fort
410000011,fort
410000012,fort
410000013,fort
410000014,fort
410000015,fort
410000017,fort
410000020,fort
410000022,fort
410000023,fort
410000025,fort
410000009,fort
410000026,fort
410000027,fort
410000423,fort
410000424,fort
410000425,fort
410000426,fort
410000427,fort
410000428,fort
410000429,fort
410000431,fort
410000432,fort
410000433,fort
410000434,fort
410000435,fort
410000439,moyen
410000440,moyen
410000441,moyen
410000445,fort
410000451,fort
410000452,fort
410001037,fort
410001040,fort
410001044,fort
410001045,fort
410001046,fort
410001047,fort
410001052,fort
410001058,fort
410001059,fort
410001061,fort
410001062,fort
410001063,fort
410001064,fort
410001069,fort
410001071,fort
410001072,fort
410001075,fort
410001076,fort
410001079,fort
410000028,fort
410000029,fort
410000033,fort
410000035,fort
410000038,fort
410000039,fort
410000040,fort
410000042,fort
410000044,fort
410000045,moyen
410000046,moyen
410000047,fort
410000050,fort
410000051,fort
410000052,fort
410000453,fort
410000455,fort
410000456,fort
410000457,fort
410000458,fort
410000459,fort
410000460,fort
410000461,fort
410000462,fort
410000467,fort
410000470,fort
410000471,fort
410000472,fort
410000473,fort
410000474,fort
410000475,fort
410000476,fort
410000478,fort
410000480,fort
410000481,fort
410001080,fort
410001082,fort
410810260,fort
410001091,fort
410001092,fort
410001094,nul
410001095,nul
410001098,moyen
410001099,fort
410001100,fort
410001101,moyen
410001103,fort
410001104,fort
410001105,fort
410000053,fort
410000054,fort
410000055,fort
410000056,fort
410000057,fort
410000059,fort
410000060,fort
410000061,fort
410000062,fort
410000064,fort
410000065,fort
410000067,fort
410000068,fort
410000069,fort
410000070,fort
410000071,fort
410000482,fort
410000483,fort
410000484,fort
410000486,fort
410000487,fort
410937197,fort
410000493,fort
410000497,fort
410000503,fort
410000507,fort
410000508,fort
410000509,fort
410000510,fort
410000511,fort
410000512,fort
410001107,fort
410001108,fort
410001109,nul
410001110,fort
410001111,fort
410001112,fort
410001113,fort
410001114,fort
410001115,fort
410001116,fort
410811823,moyen
410001121,moyen
410001122,moyen
410001127,fort
410000072,fort
410000074,fort
410000075,fort
410000076,fort
410000078,fort
410000079,fort
410000081,fort
410000082,fort
410000084,fort
410000085,fort
410000086,fort
410000087,fort
410000088,fort
410000089,fort
410000090,fort
410000095,fort
410000097,fort
410000513,fort
410000517,fort
410964790,fort
410964791,fort
410000526,fort
410000531,fort
410000532,fort
410000534,fort
410000537,fort
410000538,fort
410000539,fort
410000544,fort
410000547,fort
410000548,fort
410000549,fort
410001130,fort
410967887,nul
410001132,fort
410001134,fort
410968271,fort
410968272,fort
410968273,fort
410001138,fort
410001139,fort
410001141,fort
410001142,fort
410001143,fort
410968274,fort
410001148,fort
410001154,fort
410001155,fort
410000098,fort
410000099,fort
410000100,fort
410000102,fort
410000103,fort
410000104,fort
410000108,fort
410000109,fort
410000110,fort
410000112,fort
410000114,fort
410000115,fort
410000116,fort
410000117,fort
410000119,fort
410000125,fort
410000128,fort
410000129,fort
410000550,fort
410000551,fort
410000552,fort
410964876,moyen
410964792,fort
410931530,fort
410932182,fort
410000562,fort
410932184,fort
410000564,fort
410000565,fort
410000567,fort
410000569,fort
410000574,fort
410001159,fort
410001161,fort
410001163,fort
410001164,fort
410001165,fort
410967058,fort
410967059,fort
410001170,moyen
410001171,moyen
410967060,fort
410001173,moyen
410967061,fort
410001176,fort
410001177,fort
410967063,fort
410000130,fort
410000132,fort
410000134,fort
410000135,fort
410000136,fort
410000140,fort
410000142,fort
410000144,fort
410000145,fort
410000148,fort
410000149,fort
410000151,fort
410000156,fort
410000157,fort
410000159,fort
410000160,fort
410000161,fort
410000163,fort
410000164,fort
410000165,fort
410955302,fort
410000576,fort
410955303,fort
410000582,fort
410932391,fort
410932392,fort
410932393,fort
410955414,fort
410000592,fort
410000593,fort
410000594,fort
410000601,fort
410000606,fort
410000608,fort
410000610,fort
410000611,fort
410000612,fort
410000613,fort
410001181,fort
410001184,fort
410001185,fort
410001186,fort
410001188,moyen
410001189,fort
410001191,moyen
410001192,moyen
410001193,moyen
410001194,moyen
410001196,moyen
410001198,fort
410001200,fort
410001205,fort
410001206,fort
410001207,fort
410000167,fort
410000168,fort
410000169,fort
410000171,fort
410000172,fort
410000173,fort
410000175,fort
410000176,fort
410000177,fort
410000178,fort
410000182,fort
410000184,fort
410000185,fort
410000186,fort
410000187,fort
410000188,fort
410000189,fort
410000190,fort
410000191,fort
410000192,fort
410000614,fort
410000615,fort
410000616,fort
410000621,fort
410000622,fort
410000625,fort
410000627,fort
410000638,fort
410000639,fort
410000640,fort
410000643,fort
410000647,fort
410000648,fort
410000649,fort
410000654,fort
410000655,fort
410000661,fort
410000662,fort
410000663,fort
410001208,fort
410001209,fort
410001213,fort
410001219,fort
410001222,fort
410001224,fort
410001225,fort
410001227,fort
410001228,fort
410001229,fort
410001230,fort
410001232,fort
410001233,fort
410002552,moyen
410002554,fort
410002555,fort
410002558,fort
410002559,fort
410002560,fort
410002561,moyen
410002562,fort
410002564,moyen
410002565,moyen
410002566,moyen
410002567,moyen
410002568,fort
410002569,fort
410002570,fort
410002571,fort
410002919,fort
410002921,fort
410002922,fort
410002923,fort
410002924,fort
410002925,fort
410002926,fort
410002927,fort
410002928,fort
410002929,fort
410002930,fort
410002931,fort
410002932,fort
410002933,fort
410002934,fort
410002936,fort
410002937,fort
410002938,fort
410002940,fort
410002941,fort
410001724,fort
410844814,moyen
410001726,fort
410001727,fort
410001728,fort
410844815,moyen
410001731,fort
410001732,fort
410001733,fort
410001734,fort
410001735,fort
410001736,fort
410001737,fort
410001744,fort
410002149,fort
410002151,fort
410002153,fort
410002154,fort
410002155,fort
410002156,fort
410002157,fort
410002158,fort
410002159,fort
410002161,fort
410002162,fort
410002164,fort
410002165,fort
410002166,fort
410002168,fort
410002169,fort
410002170,fort
410002572,fort
410002573,moyen
410002574,fort
410002576,fort
410002577,fort
410002578,fort
410002579,fort
410002580,fort
410002581,fort
410002582,moyen
410002583,fort
410002584,fort
410002585,fort
410002586,fort
410002588,fort
410002589,fort
410002590,fort
410002591,fort
410002943,fort
410002944,fort
410002946,fort
410002948,fort
410002949,fort
410002950,fort
410002952,fort
410002954,fort
410002955,fort
410002956,fort
410002958,fort
410002960,fort
410002961,fort
410002962,fort
410001749,fort
410966878,fort
410001756,fort
410001758,fort
410001761,fort
410001763,fort
410001764,fort
410001765,fort
410001767,fort
410001769,fort
410001770,fort
410001771,fort
410001772,fort
410001773,fort
410967800,nul
410002172,fort
410002173,fort
410002174,fort
410967801,nul
410967802,nul
410002178,fort
410002179,fort
410002180,fort
410002181,fort
410002182,fort
410002184,fort
410002186,fort
410002187,fort
410002190,fort
410002191,fort
410002192,fort
410002592,fort
410002594,fort
410002596,fort
410002597,fort
410002601,fort
410002602,fort
410002603,fort
410002604,fort
410002605,fort
410002606,fort
410002607,fort
410002608,fort
410002609,fort
410002610,fort
410002611,fort
410002612,moyen
410002613,fort
410002963,fort
410002965,fort
410002968,fort
410002969,fort
410002970,fort
410002971,fort
410002972,fort
410002973,fort
410002975,fort
410002976,fort
410002977,fort
410002978,fort
410002979,fort
410002980,fort
410002981,fort
410002982,fort
410002983,fort
410001774,fort
410001778,fort
410001779,fort
410001781,fort
410001782,fort
410001783,fort
410001784,fort
410001785,fort
410001786,fort
410001787,fort
410001789,fort
410001790,fort
410001791,fort
410001792,fort
410001793,fort
410001794,fort
410001795,fort
410001800,fort
410002193,fort
410002194,fort
410002195,fort
410002198,fort
410002199,fort
410002200,fort
410002201,fort
410002202,fort
410002203,fort
410002205,fort
410002209,fort
410002211,fort
410002220,fort
410002222,fort
410002614,fort
410002615,fort
410002616,fort
410002617,fort
410002618,fort
410002619,fort
410002621,fort
410002622,fort
410002623,fort
410002624,fort
410002625,fort
410002627,fort
410002628,fort
410002630,fort
410002633,fort
410002638,fort
410002984,fort
410002985,fort
410002986,fort
410002987,fort
410002988,fort
410002990,fort
410002991,fort
410002992,fort
410002993,moyen
410002994,moyen
410002995,fort
410002996,fort
410002997,fort
410002998,fort
410002999,fort
410003000,fort
410003002,fort
410003003,fort
410003005,fort
410003006,fort
410001802,fort
410001803,fort
410001805,fort
410001806,fort
410001810,fort
410001811,fort
410001815,fort
410001816,fort
410001817,fort
410001818,fort
410001819,fort
410001820,fort
410001821,fort
410001823,fort
410001824,fort
410002225,fort
410002226,fort
416503365,nul
410961987,fort
410002229,fort
417501098,moyen
410002231,fort
410002234,fort
410002236,fort
410002237,fort
410002238,fort
410002240,fort
410002244,fort
410002247,fort
410002248,fort
410002252,fort
410002253,fort
410002640,fort
410002641,fort
410002642,fort
410002643,fort
410002644,fort
410002645,fort
410002646,fort
410002647,fort
410002649,fort
410002650,fort
410002652,fort
410002653,fort
410002656,fort
410002657,fort
410002658,fort
410002659,fort
410002660,fort
410003007,fort
410003009,fort
410003011,fort
410003012,fort
410003014,fort
410003015,fort
410003016,nul
410003017,fort
410003018,fort
410003019,fort
410003020,fort
410003021,fort
410003023,fort
410003024,fort
410003025,fort
410003026,fort
410003027,fort
410001825,fort
410001826,fort
410001827,fort
410001828,fort
410001829,fort
410001830,fort
410001831,fort
410001832,fort
410001833,fort
410001836,fort
410001837,fort
410001839,fort
410001840,fort
410001841,fort
410001842,fort
410001843,fort
410001844,fort
410001845,fort
410001846,fort
410002254,fort
410002261,fort
410002264,fort
410002265,fort
410002266,fort
410002267,fort
410002269,fort
410002270,fort
410002271,fort
410002272,fort
410002273,fort
410002274,fort
410002276,fort
410002277,fort
410002278,fort
410002279,fort
410002280,fort
410002661,fort
410002662,fort
410002663,fort
410002664,fort
410002665,fort
410002674,fort
410002676,fort
410002677,fort
410002678,fort
410002679,fort
410002680,fort
410002681,fort
410002682,fort
410002683,fort
410002684,fort
410852009,fort
410003029,fort
410003030,fort
410003031,nul
410003032,fort
410852021,fort
410003034,nul
410003035,fort
410003036,nul
410003037,nul
410003038,nul
410003039,nul
410003040,nul
410003041,nul
410003042,fort
410852022,fort
410001847,fort
410001849,fort
410001851,fort
410001852,fort
410001853,fort
410001854,moyen
410001855,moyen
410001860,fort
410001861,moyen
410001865,fort
410001866,fort
410001869,fort
410001870,fort
410001871,fort
410001872,fort
410002281,fort
410002283,fort
410002285,fort
410002288,fort
410002289,fort
410002290,fort
410002291,fort
410002292,fort
410002293,fort
410002294,fort
410002295,fort
410002296,fort
410002298,fort
410002300,fort
410002301,fort
410002302,fort
410002305,fort
410002685,fort
410002686,fort
410002687,fort
410002688,fort
410002690,fort
410002691,fort
410002692,moyen
410002694,fort
410002696,fort
410814668,nul
410002701,fort
410002702,fort
410002703,fort
410002704,fort
410002705,fort
410001432,fort
410922392,nul
410001435,fort
410922393,nul
410001443,fort
410001446,fort
410001447,fort
410001450,fort
410001451,fort
410001452,fort
410001456,fort
410001457,fort
410001458,fort
410001460,fort
410001461,fort
410001462,fort
410001873,fort
410001876,fort
410001877,fort
410001878,fort
410001879,fort
410001883,fort
410001885,fort
410001886,fort
410001887,fort
410001888,fort
410001889,fort
410001890,fort
410001891,moyen
410001892,fort
410001894,fort
410001895,fort
410001896,fort
410002308,fort
410002309,fort
410002310,fort
410002313,fort
410002314,fort
410002315,fort
410002319,fort
410002320,fort
410002321,fort
410002323,fort
410002324,fort
410002326,fort
410002327,fort
410002328,fort
410002329,fort
410002706,fort
410819962,fort
416002159,fort
410002712,fort
410002714,fort
410002715,fort
410002719,fort
410002720,fort
410002722,fort
410002723,fort
410002724,fort
410002726,fort
410002727,fort
410002728,fort
410002729,fort
410002730,fort
410002731,fort
410001465,fort
410001466,fort
410001467,fort
410001468,fort
410001469,fort
410001470,fort
410001471,fort
410001472,fort
410001473,fort
410001474,fort
410001476,fort
410001477,fort
410001478,fort
410001479,fort
410001484,fort
410001485,fort
410001486,fort
410001490,fort
410001897,moyen
410001898,moyen
410001900,moyen
410001903,fort
410001905,fort
410001906,fort
410001908,fort
410001910,fort
410001912,fort
410001915,fort
410001916,fort
410001917,fort
410001918,fort
410001921,fort
410001922,fort
410001923,fort
410001924,fort
410001925,fort
410819149,fort
410819150,fort
410002338,fort
410002339,fort
410002340,fort
410002341,fort
410002342,fort
410002343,fort
410002344,fort
410002346,fort
410002348,fort
410002349,fort
410002351,fort
410002354,fort
410002355,fort
410002357,fort
410002734,fort
410002736,fort
410002737,fort
410002738,fort
410002744,fort
410002745,fort
410002746,fort
410002747,fort
410002748,fort
410002749,fort
410002750,fort
410002755,fort
410002756,fort
410002757,fort
410001492,fort
410001493,fort
410001494,fort
410001495,fort
410001500,fort
410001503,fort
410001504,fort
410001505,fort
410001506,fort
410001507,fort
410001508,fort
410001510,fort
410001511,fort
410001513,fort
410001514,fort
410001926,fort
410001927,fort
410001929,fort
410001931,fort
410001933,fort
410001934,fort
410001935,fort
410001936,fort
410001937,fort
410001938,fort
410001939,fort
410001940,fort
410001941,fort
410001942,fort
410001946,fort
410002360,fort
410002361,fort
410002362,fort
410002363,fort
410002364,fort
410002365,fort
410002366,fort
410002367,fort
410002368,fort
410002369,fort
410002370,fort
410002371,fort
410002372,fort
410002373,fort
410002374,fort
410002375,fort
410002376,fort
410002377,fort
410002379,fort
410002758,fort
410002764,fort
410002765,fort
410002766,fort
410002767,fort
410002768,fort
410002769,fort
410002770,fort
410002771,fort
410002772,fort
410002773,fort
410002774,fort
410002775,fort
410002776,fort
410002777,fort
410002778,fort
410002780,fort
410001518,fort
410001522,fort
410001523,fort
410001524,fort
410001526,fort
410001527,fort
410001535,fort
410001536,fort
410001545,fort
410001547,fort
410924726,moyen
410924728,fort
410957972,fort
410001955,fort
410001958,fort
410001960,fort
410001962,fort
410001963,fort
410001964,fort
410001965,fort
410001966,fort
410001967,fort
410001968,fort
410001969,fort
410002381,fort
410002382,fort
410002384,fort
410002385,fort
410002386,fort
410002387,fort
410002388,fort
410002389,fort
410002390,fort
410002391,fort
410002392,fort
410002393,fort
410002394,fort
410002395,fort
410002396,fort
410002401,fort
410002403,fort
410002782,fort
410002783,fort
410002784,fort
410002785,fort
410002786,fort
410002787,fort
410002788,fort
410002789,fort
410002790,fort
410002792,fort
410002793,fort
410002794,fort
410002795,fort
410002796,fort
410002798,fort
410002799,fort
410002800,fort
410001554,fort
410834191,fort
410816449,fort
410816450,fort
410816451,fort
410001560,fort
410001562,fort
410834192,fort
410001567,fort
410001572,fort
410001573,fort
410001574,fort
410001578,fort
410001581,fort
410001584,fort
410001590,fort
410001971,fort
410001974,fort
410001976,fort
410001977,fort
410001978,fort
410001979,fort
410001980,fort
410001981,fort
410001983,fort
410001985,fort
410001986,fort
410001988,fort
410001990,fort
410001994,fort
410001995,fort
410002405,fort
410002407,fort
410002408,fort
