feature,auc_without,delta_auc
Diametre,0.8180568686392549,0.017783887698250123
Longueur,0.8184078969405043,0.017432859397000677
Decennie_pose,0.8293673824395713,0.006473373897933676
Etat,0.830090654904974,0.005750101432530963
Age,0.8325296662551454,0.0033110900823596356
Age_x_famille,0.8347446047688569,0.0010961515686480627
Famille_materiau,0.8353441935256821,0.0004965628118228649
Nb_anomalies,0.8357390690220529,0.00010168731545212584
Nb_fuites,0.8357390690220529,0.00010168731545212584
A_deja_fuite,0.8358592666319221,-1.8510294417128925e-05
Densite_fuites_km,0.8370519896055051,-0.0012112332680001003
Temps_depuis_fuite,0.8374130596504813,-0.0015723033129763087
