feature,feature_col,auc_without,ap_without,delta_auc
Longueur,LONGUEUR,0.8102032223421589,0.2592854027417862,0.03829494003613232
Diametre,DIAMETRE,0.8321263328815083,0.2759924792851994,0.016371829496782953
Materiau,MATERIAU_ENC,0.8467106210687995,0.3078517448650582,0.0017875413094917691
Etat,ETAT_ORD,0.8467962308316255,0.2989411999202192,0.001701931546665758
Temps_depuis_dern_fuite,temps_depuis_derniere_fuite,0.8484069125646052,0.3078321812767914,9.124981368602292e-05
Log(Age),log_age,0.8485091726741709,0.3079140862599827,-1.1010295879687604e-05
Age,age_at_split,0.8485091726741709,0.3079140862599827,-1.1010295879687604e-05
Age^2,age2,0.8485091726741709,0.3079140862599827,-1.1010295879687604e-05
Decennie_pose,decennie_pose,0.8488674119990183,0.3099970734585512,-0.00036924962072704126
Date_fiable,date_fiable_int,0.848918287031842,0.3081059074767631,-0.00042012465355079076
Age_x_materiau,age_x_materiau,0.8489316110052043,0.30852309387463883,-0.00043344862691307995
Nb_anom_hist,nb_anom,0.8492081582958704,0.30933546108328486,-0.0007099959175791426
Nb_fuites_hist,nb_fuites,0.8492081582958704,0.30933546108328486,-0.0007099959175791426
Fuites_par_an_age,fuites_par_an_age,0.8493243337340652,0.3100143817917571,-0.000826171355774008
A_deja_fuite,a_deja_fuite,0.8493259747449315,0.31005408275141,-0.0008278123666403125
Densite_fuites/ml,densite_fuites_ml,0.8493759368730618,0.30939711900486566,-0.0008777744947705557
Densite_anom/ml,densite_anom_ml,0.8493759368730618,0.30939711900486566,-0.0008777744947705557
Acceleration,acceleration,0.8494555850356013,0.3097011647417926,-0.0009574226573100253
Intervalle_moyen,intervalle_moyen,0.8495337622019137,0.3100584930766945,-0.0010355998236224462
Famille_mat,FAMILLE_ENC,0.8497187898730529,0.31001087447690984,-0.0012206274947617057
