MATERIAU,nb_troncons,nb_avec_casse,nb_anomalies_total,longueur_totale_km,taux_casse_pct,anomalies_par_km
PB,70,22,96,1.4069680000000002,31.428571428571427,68.23182901103648
PEHD,7918,614,4129,399.648561,7.754483455418035,10.331577297985067
FER,66,14,21,2.464373,21.21212121212121,8.521437298655682
POLY,5873,698,1881,236.986553,11.884896986208071,7.937159202446394
A.C,320,57,125,34.741027,17.8125,3.598051375971125
FTG,41909,3690,6280,1751.6250210000003,8.804791333603761,3.5852422320473343
AFCO,19,4,5,1.4240599999999999,21.05263157894737,3.511088015954384
VP,32,5,9,2.9137890000000004,15.625,3.0887617463035237
PEBD,42,2,6,2.1270750000000005,4.761904761904762,2.820775007933429
ACIE,1413,153,378,151.11812300000003,10.828025477707007,2.501354519867878
PVC,3643,293,525,282.58772600000003,8.042821850123525,1.8578301592617648
FTTTVI,97,1,1,0.7318159999999999,1.0309278350515463,1.36646370125824
BTM,2067,143,183,156.216783,6.918238993710692,1.1714490369450254
FT,97354,2970,4004,3782.187757,3.050722106949894,1.05864654460622
FTTT,310,3,3,4.477572,0.967741935483871,0.67000597645331
BIOR,253,5,9,18.194347999999998,1.976284584980237,0.49465911062050705
FTBLU,179,3,3,8.212009,1.675977653631285,0.3653186449259858
FTVI,12123,26,30,112.060539,0.2144683659160274,0.2677124371140139
AUTRE,5640,15,16,93.40035299999998,0.26595744680851063,0.17130556241045475
CENT,2,0,0,0.14447,0.0,0.0
COMP,18,0,0,4.616956999999999,0.0,0.0
BA,56,0,0,4.335951,0.0,0.0
GALERIE,2,0,0,0.23430700000000002,0.0,0.0
GRES,2,0,0,0.067301,0.0,0.0
GALV,8,0,0,0.376518,0.0,0.0
INOX,13,0,0,0.06390000000000001,0.0,0.0
PRV,107,0,0,2.5842919999999996,0.0,0.0
