OBJET,MATERIAU,annee_pose,DIAMETRE,nb_anomalies,LONGUEUR,ETAT_CLEAN
410134303,PEHD,1972.0,63.0,131,669.977,Inconnu
410134058,PEHD,1989.0,63.0,118,113.136,Inconnu
410130354,PEHD,1981.0,63.0,100,138.504,Inconnu
410133258,PEHD,1983.0,63.0,100,464.789,Bon
413001672,PEHD,1982.0,63.0,98,612.215,Inconnu
410134716,PEHD,1973.0,63.0,93,689.555,Vetuste
410134722,PEHD,1975.0,63.0,88,706.125,Inconnu
410131273,PEHD,1974.0,63.0,71,172.645,Inconnu
410134467,PEHD,1972.0,63.0,70,207.614,Inconnu
410131111,PEHD,1981.0,50.0,63,54.759,Inconnu
