feature,mean_abs_shap
Longueur,0.5702086
Age,0.5416534
Age^2,0.28660184
Age_x_materiau,0.24801888
Decennie_pose,0.1330819
Diametre,0.1140684
Materiau,0.11002287
Log(Age),0.10109813
Famille_mat,0.056555334
Etat,0.037678905
Date_fiable,0.026193967
Densite_anom/ml,0.021855759
Temps_depuis_dern_fuite,0.013150206
Fuites_par_an_age,0.009558655
Densite_fuites/ml,0.008969714
Nb_anom_hist,0.0019492634
Intervalle_moyen,0.0017765001
Nb_fuites_hist,0.0004273531
Acceleration,0.00029118612
A_deja_fuite,0.00019334168
